Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4903,1711,2517,7420,376,279,1056,917,759,1446,854,475,452,87, , , , , , , 
Brisbane Lions,4253,1602,2475,6728,261,228,637,604,697,1190,752,539,418,38, , , , , , , 
Carlton,4356,1734,2702,7058,293,209,822,618,661,1139,821,434,406,63, , , , , , , 
Collingwood,4119,1636,2411,6530,285,214,691,672,736,1154,751,464,354,53, , , , , , , 
Essendon,4627,1935,2498,7125,340,224,609,640,817,1129,778,468,386,61, , , , , , , 
Fremantle,4099,1618,2379,6478,251,178,720,603,653,1062,655,497,418,38, , , , , , , 
Geelong,4127,1676,2291,6418,254,189,633,687,651,1095,852,519,414,62, , , , , , , 
Hawthorn,4414,1573,2217,6631,289,207,786,835,783,1064,840,399,427,61, , , , , , , 
Melbourne,4639,1759,2623,7262,336,255,840,674,804,1337,927,482,414,79, , , , , , , 
North Melbourne,4893,1529,2187,7080,398,299,700,806,805,1365,936,327,441,77, , , , , , , 
Port Adelaide,4084,1531,2225,6309,276,220,698,675,683,1145,694,464,393,57, , , , , , , 
Richmond,4215,1612,2679,6894,292,209,656,789,652,1194,759,449,426,69, , , , , , , 
St Kilda,4559,1725,2619,7178,337,214,854,825,800,1162,902,474,454,71, , , , , , , 
Sydney,4654,1719,2655,7309,364,204,662,636,786,1311,756,420,424,80, , , , , , , 
West Coast,4433,1717,2440,6873,285,213,710,745,787,1110,701,564,440,76, , , , , , , 
Western Bulldogs,4658,1867,2845,7503,375,250,639,670,747,1322,840,460,509,84, , , , , , , 
