Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Lappin, Nigel",BL,25,379,115,251,630,17,17,5,121,49,126,109,71,9,12,17,245,391,5,8,57,27,12
"Ling, Cameron",GE,25,357,168,235,592,16,5, ,72,49,75,78,59,19,12,12,198,400,12,10,21,17,5
"West, Scott",WB,22,278,104,314,592,7,10, ,80,42,91,123,48,37,13,20,259,338,2,4,29,8,7
"Black, Simon",BL,25,284,57,307,591,13,11,2,97,29,113,140,63,16,18,18,299,296,4,7,31,19,15
"Fletcher, Chad",WC,22,277,98,281,558,7,13,1,70,38,78,85,61,10,21,10,193,360,3,5,30,21,13
"Simpson, Adam",KA,22,317,118,227,544,4,8,40,73,33,97,119,42,24,16,10,246,284,24,4,49,10,8
"Hasleby, Paul",FR,22,295,84,243,538,7,11,1,97,39,107,98,42,21,18,13,238,293,10,8,33,10,12
"Ricciuto, Mark",AD,22,305,87,230,535,17,17,1,44,33,124,105,49,29,18,23,213,323,4,16,23,8,9
"Power, Luke",BL,24,364,90,169,533,15,14, ,78,54,109,92,37,22,3,17,232,306,4,9,33,36,22
"Bowden, Joel",RI,21,345,128,177,522,9,6,6,51,99,77,40,48,28,5,8,176,330,15,6,72,44,6
"Yze, Adem",ME,23,410,99,104,514,19,21, ,54,96,87,49,52,14,11,14,149,319,17,22,35,19,6
"Hayes, Lenny",SK,23,266,93,245,511,4,6,1,129,35,101,89,43,20,22,10,183,328,1,3,59,25,16
"Voss, Michael",BL,24,276,97,231,507,31,17,7,58,25,93,72,44,16,12,10,197,315,9,23,26,6,19
"Judd, Chris",WC,23,330,51,171,501,24,15,2,89,41,115,129,59,21,17,30,273,229,8,8,36,38,14
"Ball, Luke",SK,25,280,95,219,499,17,5,3,126,33,94,121,56,29,15,8,233,272,7,10,57,26,12
"Cornes, Kane",PA,25,302,131,197,499,12,10,19,57,42,86,56,46,22,14,6,144,359,6,14,24,24,12
"Harvey, Robert",SK,23,301,100,197,498,11,8,1,38,44,80,91,45,12,10,4,186,308,1,11,36,16,17
"Cornes, Chad",PA,24,359,188,139,498,4,7,23,37,111,53,19,56,18,24,22,171,326,49,3,71,11,5
"Akermanis, Jason",BL,25,390,110,107,497,44,32, ,63,10,172,48,72,18,27,12,165,322,7,20,33,22,44
"Bell, Peter",FR,21,279,81,215,494,22,12,1,56,55,50,70,40,29,10,9,192,288,5,8,32,27,10
"Licuria, Paul",CW,22,295,114,197,492,6,8, ,76,28,88,78,58,15,30,9,195,290,5,7,21,12,9
"Bolton, Jude",SY,24,280,83,211,491,12,7,40,102,33,88,102,54,35,19,10,235,258,7,8,60,1,9
"Burgoyne, Peter",PA,23,283,54,201,484,12,11,2,75,33,88,103,58,19,19,8,177,302,4,11,17,48,10
"Kirk, Brett",SY,24,236,54,237,473,10,11,4,127,34,74,118,58,26,27,20,226,249,2,6,30,2,13
"McLeod, Andrew",AD,22,312,61,160,472,13,12,3,67,67,111,76,38,15,9,2,191,269,1,10,28,33,14
