Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Beams, Dayne",CW,24,380,108,361,741,28,16, ,101,42,109,140,52,23,9,19,284,462,4,10,34,4,16
"Thompson, Scott",AD,25,410,108,327,737,10,15,7,119,48,103,170,115,37,61,25,350,390,6,9,38,1,17
"Swan, Dane",CW,21,442,138,283,725,25,22,2,71,45,95,140,74,16,12,25,283,429,13,24,17,20,17
"Boyd, Matthew",WB,22,374,112,347,721,6,9,17,87,62,98,139,74,18,15,10,308,412,5,6,36,9,5
"Kennedy, Josh",SY,25,307,73,401,708,29,13,1,125,39,94,190,77,31,28,19,423,287,16,17,38,3,14
"Ablett, Gary",GC,20,389,61,286,675,26,19, ,110,61,101,132,81,41,28,24,298,368,14,13,32,31,19
"Dangerfield, Patrick",AD,25,390,106,277,667,23,9,8,77,49,138,163,78,45,26,23,403,275,16,9,37,22,13
"Mitchell, Sam",HW,24,345,84,308,653,7,7,2,133,41,100,154,69,38,37,26,300,357,1,5,35,9,27
"Watson, Jobe",ES,22,343,106,295,638,20,8,2,105,42,94,154,60,41,18,30,316,336,10,9,29,19,23
"Sidebottom, Steele",CW,24,377,133,258,635,14,13,1,89,52,72,79,50,18,11,7,211,417,1,14,40,36,11
"Pendlebury, Scott",CW,21,316,82,303,619,11,8,3,115,48,81,135,50,33,10,15,296,318,6,7,36,9,15
"McVeigh, Jarrad",SY,25,352,108,264,616,18,13, ,80,56,104,79,46,16,19,6,221,387,6,11,53,4,14
"Sewell, Brad",HW,24,309,59,300,609,4,13,1,127,34,107,139,64,19,21,13,297,316,2,1,34,2,11
"Cotchin, Trent",RI,22,372,92,234,606,21,16,2,107,31,116,113,49,51,16,26,273,328,16,18,25,14,14
