Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Swan, Dane",CW,26,505,146,315,820,24,23, ,123,59,130,141,57,24,11,24,311,485,12,13,40,29,16
"Ablett, Gary",GE,24,338,106,418,756,44,26, ,101,31,120,129,71,22,26,26,317,444,14,27,25,31,15
"Montagna, Leigh",SK,26,429,111,316,745,18,17, ,126,44,122,121,71,27,28,16,267,474,5,12,47,12,15
"Goddard, Brendon",SK,25,367,172,351,718,24,9,36,88,73,97,85,72,33,25,14,256,432,38,16,50,35,24
"Boyd, Matthew",WB,23,393,107,304,697,8,10,20,106,51,97,151,85,19,15,20,305,386,8,3,39,9,10
"Pendlebury, Scott",CW,26,339,116,352,691,17,13,7,144,32,94,97,45,31,10,21,281,411,13,11,40,24,17
"Hayes, Lenny",SK,25,341,93,344,685,9,10,41,177,44,87,136,77,44,35,19,265,417,1,4,37,16,7
"Selwood, Joel",GE,24,289,112,388,677,9,10,8,126,43,110,123,53,53,24,21,255,432,3,4,52,6,14
"Chapman, Paul",GE,24,412,133,264,676,23,16, ,99,58,119,75,52,33,14,8,182,495,13,16,23,21,23
"Cross, Daniel",WB,25,238,139,423,661,2,4,70,136,34,49,111,59,54,24,7,288,384,13,5,87,1,11
"Dal Santo, Nick",SK,25,372,106,269,641,16,12,23,115,67,88,97,50,34,12,7,241,384,8,11,43,26,13
"Bartel, Jimmy",GE,24,343,138,287,630,14,11,47,110,38,84,79,60,41,17,9,221,405,11,19,56,1,19
"Thomas, Dale",CW,26,380,158,243,623,18,14,4,90,64,92,46,64,16,14,4,196,410,17,19,50,52,14
"Rawlings, Brady",NM,22,236,126,387,623,1, , ,48,78,37,25,34,14,12,5,134,470,2,1,29,8,5
"Cornes, Kane",PA,22,271,103,335,606,4,4,1,103,56,45,81,49,28,15,6,213,389,2,1,15,5,4
"Didak, Alan",CW,24,350,101,240,590,41,21, ,65,21,110,67,53,16,19,11,196,379,6,11,30,21,28
"Enright, Corey",GE,24,360,136,222,582,1,1, ,69,93,39,22,57,10,24,3,148,416,20,1,68,3,5
"Gilbert, Sam",SK,26,344,196,235,579,3,6,3,66,97,64,19,87,17,30,6,187,395,28,3,93,36,6
"Griffen, Ryan",WB,24,358,80,216,574,23,12,26,78,47,127,68,58,24,20,7,179,384,6,7,36,65,13
"Watson, Jobe",ES,21,209,77,363,572,10,1,1,91,33,49,119,46,31,16,16,276,298,3,6,32,17,10
"Murphy, Marc",CA,22,278,90,282,560,19,11, ,100,34,97,97,52,42,16,5,237,323,4,5,34,33,20
"Scotland, Heath",CA,23,288,132,272,560,10,10,1,69,64,90,60,51,22,19,6,179,379,6,5,31,15,9
"Gibbs, Bryce",CA,23,342,127,218,560,6,11,3,82,76,62,63,40,24,18,6,171,374,14,8,56,19,3
"Kelly, James",GE,23,257,87,301,558,7,1, ,140,41,66,72,64,19,28,2,204,352,2,4,52,4,8
"Deledio, Brett",RI,22,302,116,254,556,2,4,2,54,93,76,35,52,16,15,7,152,367,12,1,58,16,5
"Harvey, Brent",NM,22,313,92,234,547,25,22, ,63,17,102,64,48,25,16,13,164,368,3,8,15,62,23
"Hodge, Luke",HW,22,335,89,209,544,15,12,16,125,59,98,105,69,46,38,16,245,287,20,7,65,6,11
"Malceski, Nick",SY,24,339,128,204,543,7,9,1,60,116,80,24,56,16,21,4,142,365,10,5,54,56,13
"Judd, Chris",CA,20,291,61,248,539,14,11, ,105,42,110,130,55,34,15,30,279,262,7,3,21,22,15
"Simpson, Kade",CA,23,328,142,210,538,17,19,4,93,35,91,61,55,30,20,9,172,366,15,19,41,30,16
"Thompson, Scott",AD,21,276,84,261,537,12,9,2,100,38,81,91,78,22,31,15,193,337,5,9,27,5,12
"Rischitelli, Michael",BL,22,278,126,252,530,7,6,4,97,42,85,95,45,19,19,10,194,335,6,8,33,8,10
"Mitchell, Sam",HW,19,282,76,242,524,5,4,1,90,38,65,105,61,33,26,15,204,324,1,3,26,6,3
"Gilbee, Lindsay",WB,25,352,139,171,523,7,9,1,48,89,54,18,49,20,9,3,126,366,12,3,86,25,15
"Lake, Brian",WB,25,344,240,177,521,10,6,5,58,108,31,1,61,20,17,8,188,316,48,12,129,16,2
"Carrazzo, Andrew",CA,23,254,100,266,520,4,8, ,77,27,72,60,58,15,21,2,166,356,1,6,21,5,13
"McVeigh, Jarrad",SY,24,277,91,240,517,16,11, ,85,37,86,94,46,19,18,5,180,331,5,15,40,10,21
"Cooney, Adam",WB,20,263,79,252,515,9,12,1,60,35,83,97,45,24,11,8,210,305,6,7,15,11,18
"Bruce, Cameron",ME,21,210,116,304,514,6,7, ,73,51,45,24,31,16,13,4,148,349,10,2,58,18,6
"Fisher, Sam",SK,24,305,188,209,514,5,6,6,43,65,40,10,42,18,21, ,144,372,27,7,92,9,5
"Milburn, Darren",GE,22,271,159,240,511,1,2,4,49,74,21,20,35,23,11,1,143,347,17,3,103,27,2
"Beams, Dayne",CW,25,255,107,255,510,26,32, ,75,16,90,52,40,16,13,2,163,344,12,25,14,10,17
"Gwilt, James",SK,26,336,151,174,510,5,1,1,40,85,46,9,46,13,27,1,109,387,6,2,57,6,4
"Tuck, Shane",RI,20,227,91,283,510,5,5,3,103,36,66,100,51,14,19,4,226,286,8,3,46, ,6
"Mundy, David",FR,22,244,80,263,507,12,8,8,105,44,76,97,46,20,11,9,206,294,9,6,38,14,10
"Ball, Luke",CW,24,246,100,261,507,7,10,1,155,29,67,117,56,40,25,1,236,267,7,9,51,1,9
"Lewis, Jordan",HW,23,272,136,232,504,15,7,25,62,33,85,76,55,25,21,7,188,320,9,12,23,3,12
