Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Corey, Joel",GE,25,339,116,391,730,6,7,13,138,35,119,111,81,49,30,15,265,469,4,8,48,17,14
"Bartel, Jimmy",GE,25,382,142,320,702,22,15,6,124,49,94,88,89,46,38,10,235,463,18,15,55,4,15
"Mitchell, Sam",HW,24,313,90,354,667,4,2,2,88,31,104,133,89,36,40,15,230,439, ,3,25,31,16
"Cross, Daniel",WB,25,241,138,422,663,5,2,24,117,37,58,91,61,52,25,12,251,421,11,8,55,5,19
"Cooney, Adam",WB,25,311,98,326,637,23,6,4,65,61,67,100,69,33,25,24,251,382,3,12,27,49,18
"Boyd, Matthew",WB,25,315,133,314,629,5,6,7,94,44,64,86,77,30,29,12,213,419,6,8,36,22,12
"Cornes, Kane",PA,22,268,128,345,613,5,4,2,79,50,41,32,75,25,29,3,153,464,5,4,19,27,10
"Selwood, Joel",GE,24,283,102,324,607,6,9,2,78,35,98,83,57,63,21,19,210,413,3,10,49,21,18
"Ablett, Gary",GE,21,288,100,318,606,26,24, ,95,26,122,103,53,44,19,22,241,371,8,12,20,55,19
"Swan, Dane",CW,24,368,163,222,590,22,23,1,75,39,100,83,67,17,11,12,215,369,19,25,21,19,12
"Enright, Corey",GE,25,299,133,282,581,6,2, ,70,70,50,42,33,14,13,2,142,432,10,3,70,5,8
"Hayes, Lenny",SK,24,256,105,322,578,5,12,4,144,35,76,123,66,30,33,15,227,348,3,10,48,17,11
"Fisher, Sam",SK,25,359,228,217,576,5,2,8,39,95,45,21,54,16,23,3,131,438,19,2,110,19,10
"Harvey, Brent",NM,23,339,110,230,569,25,19, ,54,31,107,48,52,26,13,17,180,377,11,13,19,89,21
"Montagna, Leigh",SK,25,388,118,179,567,12,11, ,82,74,127,55,64,32,31,9,158,402,1,6,41,42,20
"Thompson, Scott",AD,23,302,114,254,556,16,10,5,109,42,88,104,81,36,31,15,222,332,7,15,25,8,16
"Tuck, Shane",RI,22,229,102,318,547,10,1,33,84,22,65,89,67,30,30,5,236,309,6,4,24,1,11
"Birchall, Grant",HW,25,281,164,266,547,2,1, ,44,59,47,15,41,16,17, ,100,447,4, ,32,46,9
"Ling, Cameron",GE,23,237,106,309,546,15,5,2,79,41,77,49,57,21,20,9,152,393,6,4,26,13,13
"Murphy, Marc",CA,22,335,137,207,542,14,11,1,58,41,121,80,54,30,17,11,190,357,1,9,18,58,20
"Power, Luke",BL,22,286,73,256,542,7,8, ,100,63,76,67,71,25,24,11,195,350,1,1,44,23,20
"Black, Simon",BL,21,253,61,286,539,10,9,2,87,33,70,115,81,35,27,23,263,279,4,6,21,11,16
"Kirk, Brett",SY,24,257,71,282,539,9,12,3,151,27,63,119,57,38,30,12,219,321,1,4,33,2,18
"Deledio, Brett",RI,22,255,155,283,538,28,10,5,48,33,90,42,40,15,13,8,163,372,14,24,28,70,19
"Goddard, Brendon",SK,23,337,182,200,537,11,4,8,47,83,54,37,75,16,36,6,146,374,13,10,69,29,10
"Carrazzo, Andrew",CA,21,282,133,255,537,4,3,3,65,60,57,35,69,29,34,1,135,407,6, ,40,9,5
"Bruce, Cameron",ME,22,244,147,287,531,13,12,2,77,46,72,61,45,19,13,2,158,377,10,21,41,10,9
"Giansiracusa, Daniel",WB,25,330,163,200,530,33,11,1,70,42,66,57,62,28,25,3,146,384,10,31,43,21,18
"Dal Santo, Nick",SK,24,336,95,194,530,12,7,7,75,53,86,68,41,34,15,3,173,351,4,8,32,54,16
"Pendlebury, Scott",CW,23,283,113,235,518,11,10,3,77,34,56,71,37,26,16,7,183,330,10,13,39,15,18
"Stevens, Nick",CA,22,304,113,213,517,17,6,1,60,42,119,67,67,23,24,10,156,355,1,6,22,19,21
"Gram, Jason",SK,25,291,101,221,512,20,13,2,53,54,105,32,58,17,18,5,127,380,4,7,50,49,11
"Gilbee, Lindsay",WB,24,352,112,157,509,14,8, ,24,104,42,26,35,13,7,2,93,372,5,8,68,59,13
"Judd, Chris",CA,21,250,41,258,508,15,9, ,81,28,83,103,55,44,23,16,250,258,6,5,20,9,19
"Johnson, Steve",GE,25,333,147,174,507,53,31,2,65,24,108,41,82,35,34,11,170,328,15,57,23,17,26
"Harvey, Robert",SK,24,291,129,216,507,7,4, ,40,49,58,49,48,20,10,3,150,362,3,11,26,18,21
