Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Cornes, Kane",PA,25,360,170,336,696,11,9,2,94,58,78,67,77,40,32,13,201,504,9,12,40,26,15
"Ablett, Gary",GE,25,358,98,309,667,30,26, ,86,52,147,100,77,42,22,20,254,416,10,13,38,78,18
"Corey, Joel",GE,25,338,119,312,650,7,9,22,134,43,114,127,71,46,29,12,247,401,8,10,62,17,12
"Cornes, Chad",PA,25,427,174,216,643,18,12,27,56,94,114,66,73,29,33,12,217,422,31,11,73,22,13
"Bartel, Jimmy",GE,23,341,143,291,632,18,8,16,122,63,90,86,53,34,15,29,221,421,17,6,70,5,19
"Burgoyne, Peter",PA,24,389,88,222,611,8,11, ,70,104,72,71,70,22,20,7,179,411,5,6,24,106,12
"Simpson, Adam",KA,25,327,104,283,610,4,4,34,110,31,106,125,56,24,24,13,224,381,7,5,68,6,11
"Lewis, Jordan",HW,24,310,177,285,595,14,6,6,52,32,99,87,75,34,24,8,207,394,14,18,33,7,18
"Swan, Dane",CW,25,422,187,173,595,13,14, ,85,65,74,76,70,22,17,20,214,368,12,15,58,18,11
"Harvey, Brent",KA,25,351,116,243,594,36,17, ,53,43,103,56,64,23,22,22,183,396,6,12,28,73,26
"Mitchell, Sam",HW,23,262,120,331,593,2,3, ,96,36,87,116,82,32,34,21,228,367,3,1,35,51,20
"Thompson, Scott",AD,23,309,132,271,580,16,16,9,101,43,107,95,85,19,29,18,201,380,8,16,26,19,11
"Edwards, Tyson",AD,23,348,132,231,579,7,8,10,94,69,81,69,56,16,22,5,164,414,3,4,26,39,11
"Scotland, Heath",CA,22,378,155,197,575,4,7,3,52,92,90,50,50,10,16,12,160,413,6,4,51,53,10
"Carrazzo, Andrew",CA,22,287,114,282,569,8,6,23,101,38,90,90,66,24,23,11,196,376,2,8,30,11,14
"Priddis, Matt",WC,24,305,73,260,565,11,4, ,128,43,98,104,66,19,17,9,219,348, ,3,28,25,13
"Milburn, Darren",GE,25,274,179,288,562,5,8,3,57,72,33,18,49,27,21, ,175,372,16,10,130,62,10
"Lockyer, Tarkyn",CW,25,405,203,147,552,13,14,2,71,64,78,41,48,26,17,9,153,388,6,20,56,28,18
"McLeod, Andrew",AD,23,373,81,177,550,6,5, ,40,112,76,21,51,12,12,15,139,390,2,2,41,32,14
"Enright, Corey",GE,24,323,139,226,549,9,5,4,51,60,68,40,59,15,27, ,145,403,8,9,82,6,9
"Bowden, Joel",RI,22,329,179,220,549,3,2,1,38,115,22,24,61,14,19, ,114,398,7,4,123,53,4
"Sinclair, Jess",KA,25,331,126,215,546,8,12, ,84,67,80,50,46,18,13,1,141,410,2,10,28,50,6
"Boyd, Matthew",WB,22,295,137,250,545,11,8,7,77,53,83,85,71,17,25,6,166,370,1,5,29,43,15
"Hodge, Luke",HW,24,319,130,222,541,23,14,12,96,53,95,82,74,29,43,16,199,336,20,20,47,11,18
"West, Scott",WB,20,211,110,329,540,1,6,1,82,39,39,74,53,34,12,8,214,327,1,3,21,10,7
"Crawford, Shane",HW,23,278,122,261,539,10,9,2,76,28,90,56,58,22,22,6,119,421, ,6,35,17,15
"Foley, Nathan",RI,22,246,46,286,532,6,6,2,90,38,71,105,75,22,30,3,217,322, ,1,21,105,17
"Cassisi, Domenic",PA,25,259,106,270,529,7,8,1,112,54,52,77,86,28,28,2,198,335, ,4,55,12,10
"Goodwin, Simon",AD,21,268,91,248,516,10,8,16,53,46,80,96,40,31,16,12,187,331,4,5,26,16,12
"Kirk, Brett",SY,23,223,80,293,516,8,5,2,149,29,64,124,59,37,31,15,248,269,2,5,36,4,16
"Knights, Chris",AD,22,276,123,239,515,5,12,8,60,50,77,41,55,13,18, ,143,383,3,4,34,20,8
"Braun, Michael",WC,24,227,93,287,514,6,6,1,68,15,81,38,53,26,16,3,144,380,3,5,44,13,5
"Sewell, Brad",HW,24,206,124,306,512,3,2,1,104,20,85,79,41,20,23,8,188,328,4,3,29,13,12
"Harris, Daniel",KA,25,200,83,310,510,6,5, ,111,35,51,123,68,35,38,4,255,261,2,3,41,9,10
"Birchall, Grant",HW,24,292,153,215,507,2,5, ,42,71,61,12,40,12,18,2,73,436,4, ,38,34,9
"Montagna, Leigh",SK,21,339,108,163,502,10,12, ,75,56,94,65,67,20,16,9,154,345,2,7,30,64,8
"Tuck, Shane",RI,22,253,114,237,490,12,6,32,61,40,77,109,68,23,20,2,201,283,4,7,32,11,10
"Rawlings, Brady",KA,25,208,72,282,490,2,5, ,76,30,56,58,42,21,15,4,150,346,3,2,22,13,6
"McDonald, James",ME,21,263,90,226,489,3,4,10,131,46,55,91,60,27,23,6,182,295,1,6,36,18,5
"Shaw, Heath",CW,25,361,164,126,487,2,4,2,68,89,43,13,65,30,18,7,167,295,22,1,93,41,5
"Bell, Peter",FR,22,266,102,218,484,28,12, ,63,25,73,67,48,29,17,9,147,336,4,15,20,14,14
"OBree, Shane",CW,24,295,103,188,483,6,6, ,97,32,103,97,59,20,24, ,176,292,1,6,48,15,13
"Lappin, Nigel",BL,18,257,85,225,482,4,6, ,75,45,69,83,46,18,9,4,164,320,4,4,31,40,14
"Malceski, Nick",SY,23,333,150,148,481,14,5, ,60,103,88,16,68,15,27,9,97,342,4,13,46,58,16
"Guerra, Brent",HW,24,307,130,174,481,3,4, ,51,94,44,16,58,19,22, ,86,362,4,3,50,32,4
"Mackie, Andrew",GE,24,315,153,162,477,13,14, ,38,62,87,13,53,22,9,2,91,387,7,13,60,15,11
"Ling, Cameron",GE,24,215,107,261,476,28,6, ,69,26,57,49,48,21,27,1,149,329,13,14,37,8,11
"Rosa, Matt",WC,22,267,163,209,476,10,12,1,54,33,98,28,47,12,19,4,105,372,5,6,32,27,11
"Peverill, Damien",ES,19,225,121,249,474,6,5, ,45,46,53,68,48,14,18,7,160,315,2,5,15,24,6
"Burgoyne, Shaun",PA,25,271,62,201,472,39,23,1,94,34,80,113,53,26,22,16,204,249,3,17,43,33,22
"Burns, Scott",CW,25,243,109,229,472,12,11, ,102,42,77,95,47,33,18,1,221,262,1,3,26,11,15
"Dal Santo, Nick",SK,22,290,66,182,472,9,9,9,82,53,77,71,36,29,9,16,190,272,2,5,34,43,19
"Cooney, Adam",WB,22,262,112,207,469,28,21, ,79,29,73,91,69,26,19,9,181,288,7,20,34,42,10
"Stanton, Brent",ES,20,322,139,147,469,11,5, ,28,66,83,45,46,20,12,5,113,353,4,6,30,32,11
"Selwood, Adam",WC,23,208,142,259,467,1,2,5,60,53,27,18,44,34,12,5,112,359,4,4,50,28,6
"Black, Simon",BL,21,244,45,222,466,9,11,3,91,47,90,86,56,31,22,22,205,265,2,4,19,12,15
"Goodes, Adam",SY,23,298,134,166,464,9,9,31,77,53,90,84,78,27,34,20,213,246,21,15,65,43,21
"Notting, Tim",BL,22,275,133,188,463,16,11,2,53,43,107,25,58,17,16,1,121,340,1,9,44,32,12
"Stenglein, Tyson",WC,21,233,96,230,463,3,4,4,104,33,43,66,43,26,16, ,141,321,3,5,74,12,6
"Kerr, Daniel",WC,17,223,46,238,461,8,11,3,61,40,58,89,55,51,20,22,213,255,7,5,38,54,12
"Hunter, Adam",WC,24,188,145,268,456,14,7,5,53,60,27,7,53,20,20,1,131,320,24,17,109,9,10
"Adcock, Jed",BL,22,277,98,178,455,10,1,3,109,50,85,32,54,43,25,2,144,323,4,3,74,24,15
"Ladson, Rick",HW,22,275,101,180,455,10,3, ,38,40,63,27,38,16,12, ,113,343,3,6,50,16,13
"Jones, Brett",WC,24,233,115,222,455,1,1,1,43,75,34,6,51,12,21, ,96,359,16, ,109,35,10
"Power, Luke",BL,19,246,65,206,452,9,8, ,96,43,79,47,54,21,22,2,139,310, ,5,26,12,25
"Hasleby, Paul",FR,20,210,86,241,451,8,8,3,64,27,65,79,40,20,15,7,170,274,7,8,23,10,11
"Young, Clinton",HW,23,303,166,145,448,8,11,2,58,45,123,25,51,24,15,2,83,377,5,4,36,50,18
"Kelly, James",GE,23,201,85,246,447,11,10, ,84,19,65,51,55,15,16,6,167,287,2,12,53,16,17
"McPhee, Adam",ES,22,279,181,166,445,7,4,14,68,56,59,15,58,16,31,6,116,332,20,9,71,19,12
"Stiller, Cheynee",BL,22,253,143,191,444,7,4,1,54,38,71,27,50,14,13, ,117,327,10,5,49,19,11
"Watson, Jobe",ES,19,193,85,249,442,6,5,1,62,30,47,98,36,13,11,5,177,258,1,5,14,26,9
"Johnson, Kane",RI,22,243,126,197,440,4,3,12,70,44,62,49,52,23,22,1,108,337,1,2,29,5,9
"Judd, Chris",WC,19,240,37,197,437,20,14,1,60,22,93,95,53,25,18,16,217,220,8,5,31,7,18
"Jones, Rowan",WC,23,191,101,245,436,12,5,2,43,7,67,30,43,21,15,2,142,287,1,5,34,7,22
"Pendlebury, Scott",CW,23,238,124,197,435,20,8,6,75,25,60,51,51,20,17,1,165,269,12,16,49,27,12
"van Berlo, Nathan",AD,23,219,98,215,434,7,12,20,75,18,74,41,46,27,17, ,147,288,7,6,45,16,13
"Hayes, Lenny",SK,19,228,84,204,432,4,8,1,108,27,78,81,40,21,17,8,159,272,2,5,36,20,10
