Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Harvey, Robert",SK,24,501,74,234,735,13,14,1,36,78,138,177,25,19,12,32, , , , , , , 
"Cresswell, Daryn",SY,24,375,85,264,639,21,13,9,15,30,119,127,20,26,18,13, , , , , , , 
"West, Scott",WB,24,309,40,301,610,5,3, ,67,52,92,116,40,53,18,23, , , , , , , 
"Ricciuto, Mark",AD,24,386,111,183,569,22,25,6,35,32,133,81,32,18,31,21, , , , , , , 
"Campbell, Wayne",RI,21,311,68,244,555,13,6,11,65,41,105,100,26,27,24,4, , , , , , , 
"Romero, Jose",WB,23,332,81,217,549,16,8, ,41,23,114,101,27,43,23,9, , , , , , , 
"Stevens, Anthony",NM,25,442,90,101,543,8,6,3,74,54,109,99,32,20,41,9, , , , , , , 
"Bell, Peter",NM,25,327,67,215,542,17,14,1,43,40,79,119,22,31,15,2, , , , , , , 
"Buckley, Nathan",CW,18,406,94,125,531,18,19,10,36,52,143,118,22,19,18,24, , , , , , , 
"Burke, Nathan",SK,22,343,81,187,530,10,12,2,75,55,95,143,22,23,23,4, , , , , , , 
"Daffy, Nick",RI,22,441,69,79,520,30,24, ,34,29,159,88,51,17,23,9, , , , , , , 
"Knights, Matthew",RI,20,289,56,229,518,6,4,1,61,51,86,52,20,35,21,18, , , , , , , 
"Schwass, Wayne",SY,22,380,61,127,507,23,6,7,38,47,97,83,23,33,23,15, , , , , , , 
"Crawford, Shane",HW,21,350,81,156,506,13,9,2,52,55,98,90,24,31,21,16, , , , , , , 
"Ratten, Brett",CA,21,265,58,237,502,9,10, ,67,16,80,140,16,18,21,3, , , , , , , 
"Ashcroft, Marcus",BL,22,300,84,201,501,7,15,1,41,49,83,83,32,19,13,3, , , , , , , 
"Febey, Steven",ME,25,309,77,191,500,7,3,1,60,86,78,63,42,26,16,12, , , , , , , 
"Rigoni, Guy",ME,25,268,80,230,498,6,11,7,46,43,93,109,33,13,17,1, , , , , , , 
"Winmar, Nicky",SK,23,307,109,187,494,16,19, ,54,46,87,53,40,41,33, , , , , , , , 
"Carey, Wayne",NM,25,368,193,121,489,80,49,14,40,19,113,16,26,27,34,20, , , , , , , 
"Cousins, Ben",WC,23,294,63,195,489,20,13, ,33,30,112,77,30,29,18,18, , , , , , , 
"Yze, Adem",ME,25,394,110,95,489,7,5,1,37,125,56,36,31,28,27, , , , , , , , 
"Brown, Fraser",CA,19,278,75,210,488,7,5,2,31,29,98,131,32,17,25,18, , , , , , , 
"Camporeale, Scott",CA,22,334,87,151,485,27,22, ,27,35,121,69,19,31,33,7, , , , , , , 
"Viney, Todd",ME,22,281,94,199,480,15,9, ,43,41,98,86,21,22,23,20, , , , , , , 
"Johnson, Brad",WB,24,330,120,133,463,29,14,1,26,45,108,59,20,14,16,7, , , , , , , 
"Scott, Chris",BL,21,296,100,156,452,14,8,4,45,41,93,49,43,21,24,1, , , , , , , 
"Woewodin, Shane",ME,25,316,127,136,452,10,10, ,33,58,81,62,17,18,24,6, , , , , , , 
"Rehn, Shaun",AD,26,270,148,176,446,5,11,566,38,42,76,81,37,37,31,22, , , , , , , 
"Hardwick, Damien",ES,23,325,87,117,442, ,1, ,43,102,26,40,30,37,23,9, , , , , , , 
"Callaghan, Craig",FR,22,325,99,108,433,25,15, ,60,49,73,56,39,34,27, , , , , , , , 
"Norrish, Jason",FR,22,220,79,212,432,5,4, ,37,27,59,76,27,16,19,4, , , , , , , 
"Bickley, Mark",AD,23,270,74,160,430,10,11,1,64,39,94,91,22,20,26, , , , , , , , 
"Nicks, Matthew",SY,24,291,104,138,429,10,5,3,42,85,81,29,29,25,15,9, , , , , , , 
"Bradley, Craig",CA,19,267,62,160,427,7,9,3,28,32,102,80,17,18,10,10, , , , , , , 
"Broderick, Paul",RI,20,210,65,216,426,16,5, ,56,28,62,83,16,18,16,6, , , , , , , 
"Smart, Nigel",AD,24,304,88,122,426,13,12,19,80,69,80,27,28,23,23,4, , , , , , , 
"Crosisca, Gavin",CW,22,285,105,138,423,7,5,7,38,46,97,40,17,20,17,2, , , , , , , 
"Lyle, Brayden",PA,22,289,88,132,421, ,2,4,40,34,79,44,25,20,28,2, , , , , , , 
"OLoughlin, Michael",SY,24,289,129,130,419,40,25,2,28,21,81,30,15,19,22, , , , , , , , 
"James, Brett",AD,23,191,55,228,419,15,8,1,42,37,52,77,12,19,11,2, , , , , , , 
"Taylor, Richard",HW,21,294,56,122,416,9,6,1,63,44,61,72,14,20,25,1, , , , , , , 
"Harrison, Ben",RI,22,285,114,129,414,15,18,9,21,39,79,31,23,15,12,5, , , , , , , 
"Koster, Kym",AD,26,255,63,158,413,7,11, ,54,26,88,68,18,19,31,5, , , , , , , 
"Everitt, Peter",SK,24,300,163,111,411,45,32,433,22,36,84,55,33,41,33,9, , , , , , , 
"Grant, Chris",WB,22,294,185,117,411,42,34,16,39, ,106,28,26,36,32,11, , , , , , , 
"Leoncelli, Andrew",ME,23,283,80,128,411,5,5,3,52,34,99,93,20,20,28, , , , , , , , 
"Waterman, Chris",WC,22,265,112,146,411,5,10,3,30,56,51,26,18,24,15,1, , , , , , , 
"Lord, Aaron",HW,22,269,78,141,410,31,32, ,28,17,72,39,27,22,14,4, , , , , , , 
"Gale, Mark",FR,22,244,65,166,410,6,2,2,35,52,52,23,25,18,8, , , , , , , , 
"King, David",NM,22,322,54,86,408,10,12, ,28,104,78,33,27,27,21,11, , , , , , , 
"Kingsley, Adam",PA,22,275,82,131,406,10,9,6,32,32,99,49,9,22,14, , , , , , , , 
"Hocking, Garry",GE,17,234,61,170,404,12,4, ,40,26,68,105,25,16,26,14, , , , , , , 
"Lappin, Nigel",BL,20,269,96,130,399,15,12, ,15,57,78,43,40,15,18,2, , , , , , , 
"Grant, Shannon",NM,25,261,70,137,398,46,16,2,35,26,84,49,16,19,15,3, , , , , , , 
"Francou, Josh",PA,22,243,50,154,397,12,15,2,54,32,79,76,40,28,33,7, , , , , , , 
"Thompson, Andrew",SK,22,211,52,184,395,20,9,1,62,19,82,74,27,18,14,4, , , , , , , 
"Misiti, Joe",ES,19,214,64,179,393,6,4,2,29,32,47,75,14,8,8,3, , , , , , , 
"Sanderson, Brenton",GE,22,291,102,98,389,5,3,1,33,85,57,28,33,23,16,3, , , , , , , 
"Luff, Troy",SY,24,271,117,114,385,9,7,40,38,98,43,19,19,17,18,2, , , , , , , 
"Riccardi, Peter",GE,20,258,64,125,383,20,16,3,43,36,100,58,23,24,6,2, , , , , , , 
"Dickie, Donald",PA,19,222,88,155,377,10,9,6,48,20,67,44,24,20,31,3, , , , , , , 
"Calthorpe, David",ES,21,264,92,112,376,13,10,1,24,43,69,50,26,15,23,8, , , , , , , 
"Blakey, John",NM,25,258,97,118,376,10,12,6,27,71,64,43,15,24,21, , , , , , , , 
"Matera, Peter",WC,21,294,76,81,375,17,13,6,55,64,69,36,40,29,24,6, , , , , , , 
"Lekkas, Angelo",HW,22,278,81,93,371,5,6, ,62,64,50,39,27,19,15, , , , , , , , 
"Sexton, Michael",CA,22,267,100,104,371,3,6,14,20,56,49,17,32,22,20, , , , , , , , 
"McKenna, Guy",WC,22,209,82,161,370,1,1,2,64,61,21,22,24,26,21,2, , , , , , , 
"Hart, Shaun",BL,18,218,66,151,369,12,14,4,40,29,72,38,18,16,6,5, , , , , , , 
"Rogers, Matthew",RI,20,294,79,75,369,5,7,1,37,49,73,23,22,13,10, , , , , , , , 
"Fletcher, Adrian",FR,16,225,68,142,367,8,6,2,40,9,81,74,15,23,19,3, , , , , , , 
"Smith, Rohan",WB,24,245,101,121,366,29,26,1,23,48,78,20,19,14,17,6, , , , , , , 
"Colbert, Leigh",GE,20,218,83,148,366,9,3,45,51,43,52,71,23,30,24,6, , , , , , , 
"Cameron, Leon",WB,22,276,80,90,366,6,5,2,19,75,35,7,13,13,17, , , , , , , , 
"Mercuri, Mark",ES,20,224,112,141,365,24,14,1,27,21,61,32,16,18,23,4, , , , , , , 
"Banfield, Drew",WC,22,217,60,148,365,11,4,5,51,36,74,71,40,14,22,4, , , , , , , 
"Febey, Matthew",ME,21,200,73,165,365,8,5, ,39,34,79,40,19,16,18,3, , , , , , , 
"Morrison, Chad",WC,22,260,104,103,363,21,10,4,19,43,46,19,22,30,18,1, , , , , , , 
"Dodd, Brad",FR,20,212,82,151,363,9,7,1,21,26,64,45,28,17,24,2, , , , , , , 
"Blumfield, Justin",ES,21,197,108,162,359,12,9,3,32,24,47,39,19,9,10, , , , , , , , 
"Wellman, Sean",ES,23,248,122,111,359,2,3,15,15,61,34,7,19,21,14,8, , , , , , , 
"Holland, Nick",HW,22,249,151,108,357,41,21,97,17,17,87,40,23,37,21,4, , , , , , , 
