Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Mitchell, Tom",HW,24,389,113,459,848,13,7, ,152,50,118,192,100,55,32,28,388,465,1,7,13,30,12
"Sidebottom, Steele",CW,26,361,133,403,764,12,14, ,96,46,109,102,91,21,29,24,250,511,3,8,55,19,17
"Oliver, Clayton",ME,25,262,87,472,734,12,11, ,168,39,111,162,99,31,30,13,405,337,6,12,32,7,18
"Pendlebury, Scott",CW,25,294,60,376,670,9,5,1,147,44,91,130,72,29,14,15,272,410,1,1,51,7,16
"Neale, Lachie",FR,22,251,79,416,667,10,6, ,93,32,78,157,74,29,28,11,331,332,9,9,19,3,12
"Phillips, Tom",CW,26,391,147,273,664,15,8, ,62,69,79,58,73,18,16, ,199,470,5,4,19,13,12
"Cripps, Patrick",CA,22,259,92,393,652,11,15, ,138,29,85,168,99,68,45,20,387,274,27,10,24,8,6
"Laird, Rory",AD,20,319,124,325,644,3,4, ,43,100,43,25,62,21,13,19,199,424,7,1,27,4,8
"Coniglio, Stephen",GW,23,374,108,269,643,24,17,1,116,36,88,126,90,21,24,11,258,393,7,12,22,9,14
"Ward, Callan",GW,24,318,92,324,642,8,15,10,95,40,96,160,56,41,25,13,312,338,8,5,23,10,10
"Whitfield, Lachie",GW,24,395,161,247,642,6,9, ,77,88,89,34,76,17,28,16,146,482,3,5,46,19,9
"Lloyd, Jake",SY,23,420,149,219,639,3,3, ,37,139,45,29,46,13,5,6,134,462,6,4,56,10,3
"Ross, Sebastian",SK,21,337,114,295,632,3,8, ,83,55,99,89,83,13,20,6,202,425,4,3,31,15,12
"Redden, Jack",WC,25,351,140,277,628,10,4, ,118,57,66,121,81,29,29,10,261,379,4,11,41,6,10
"Hunter, Lachie",WB,21,343,117,283,626,8,10, ,58,60,77,51,57,29,17,9,177,431,2,17,28,28,4
"Macrae, Jack",WB,19,299,110,324,623,8,5, ,102,45,83,117,54,39,15,14,256,372,6,6,24,10,14
"Selwood, Joel",GE,23,298,94,323,621,7,13,2,124,46,85,122,95,59,42,14,287,351,7,8,57,2,8
"Adams, Taylor",CW,23,330,78,290,620,9,9, ,120,35,96,143,110,41,37,6,304,323,3,4,27,12,16
"Dangerfield, Patrick",GE,22,305,82,314,619,24,23, ,102,23,110,121,91,56,35,17,332,296,25,20,47,14,23
"Yeo, Elliot",WC,25,390,129,225,615,14,15, ,167,48,132,108,120,37,53,15,311,311,19,7,49,10,16
"Jones, Nathan",ME,25,285,66,329,614,15,10, ,93,13,106,86,85,10,35,7,226,398,3,10,15,4,12
"Beams, Dayne",BL,21,330,114,282,612,18,13, ,62,37,91,118,75,35,26,18,235,387,6,19,14,2,7
"Crisp, Jack",CW,26,337,136,264,601,4,3, ,86,78,92,44,72,23,22, ,212,402,13, ,81,22,18
"Shiel, Dylan",GW,23,321,66,274,595,6,14, ,79,37,109,104,86,18,15,10,213,367, ,2,31,13,26
"Steven, Jack",SK,22,305,88,288,593,13,7, ,78,36,103,121,86,34,20,18,223,368,2,9,23,39,8
"Heppell, Dyson",ES,22,327,122,263,590,10,4, ,87,38,96,108,78,29,26,13,238,361,8,7,33,1,9
"Merrett, Zach",ES,22,281,69,309,590,5,7, ,132,37,83,95,65,41,14,10,234,364, ,1,34,6,13
"Kennedy, Josh",SY,23,250,55,334,584,10,12, ,113,30,85,140,80,25,22,6,314,266,5,10,25,1,12
"Martin, Dustin",RI,23,362,86,221,583,31,21, ,48,4,136,122,107,28,36,19,272,306,22,17,27,35,23
"Gaff, Andrew",WC,19,339,100,244,583,12,4, ,56,36,74,69,46,28,10,16,168,405,2,4,7,11,11
"Crouch, Matt",AD,18,249,69,331,580,2,3, ,70,31,65,96,67,19,14,8,229,351,2,4,12,5,11
"Brayshaw, Angus",ME,22,322,108,252,574,14,10, ,99,35,112,94,89,29,22,21,238,350,10,11,31,7,7
"Wines, Ollie",PA,22,269,72,305,574,4,9,5,111,23,83,127,68,22,27,14,282,295,18,10,28, ,12
"Gibbs, Bryce",AD,22,354,82,215,569,13,15, ,118,42,99,113,73,29,16,9,236,326,6,10,20,7,13
"Cunnington, Ben",NM,22,246,82,317,563,10,2, ,113,32,62,145,95,31,31,11,339,234,17,7,22,1,13
"Polec, Jared",PA,22,361,99,192,553,9,8, ,64,67,88,56,75,16,23,7,190,360,5,4,29,11,15
"Duncan, Mitch",GE,21,315,133,238,553,7,8, ,74,69,80,71,74,25,24,4,172,393,3,7,32,11,15
"Ablett, Gary",GE,19,296,85,256,552,16,15, ,72,44,92,86,83,24,32,14,206,349,3,6,14,9,8
"Simpson, Kade",CA,21,369,115,180,549,4, , ,42,109,57,22,54,26,9,6,156,334,14,4,50,26,11
"Higgins, Shaun",NM,20,281,66,267,548,14,16, ,58,27,118,102,55,34,21,15,213,336,4,4,13,5,17
"Menegola, Sam",GE,23,283,126,259,542,22,12,3,103,32,102,56,73,14,25,7,215,347,10,11,29,3,11
"Lewis, Jordan",ME,24,285,115,255,540,5,2, ,37,69,55,40,67,22,22, ,171,349,7,2,56, ,7
"Curnow, Ed",CA,21,266,81,268,534,5,6, ,138,45,70,100,67,25,28,4,214,308,2,8,21,8,6
"Harmes, James",ME,25,257,87,276,533,15,13,5,131,34,88,71,75,24,35,4,231,312,9,11,31,14,12
"Shiels, Liam",HW,23,332,85,200,532,9,3, ,149,19,96,91,73,16,21,8,185,327,2,5,26,8,11
"Hurn, Shannon",WC,25,430,196,101,531,1,2, ,44,120,50,5,44,9,17,6,109,350,19,1,65,8,7
"Kelly, Tim",GE,23,277,77,249,526,24,16, ,81,27,91,98,90,21,25,13,241,304,3,11,27,6,12
"McLean, Toby",WB,22,233,85,292,525,11,13, ,126,23,80,90,64,33,26,2,208,329,3,10,34,17,11
"Grundy, Brodie",CW,26,206,92,319,525,9,8,1038,134,28,61,138,91,55,43,17,318,223,32,5,73,8,9
"Smith, Isaac",HW,24,311,143,213,524,26,14, ,61,36,84,39,65,10,19,6,126,391,2,9,38,23,12
"Parker, Luke",SY,22,261,88,245,506,25,9,2,123,27,79,119,87,24,34,10,276,212,14,18,34,1,14
"OMeara, Jaeger",HW,21,266,79,238,504,16,8, ,114,34,70,103,79,15,34,13,205,292,2,5,26,4,9
"Tuohy, Zach",GE,23,336,117,168,504,10,3, ,29,97,60,21,44,16,12, ,121,353,4,3,46,8,7
"Treloar, Adam",CW,17,215,54,287,502,12,15, ,83,19,79,83,55,9,16,8,190,311,1,8,9,19,12
"Lambert, Kane",RI,22,205,80,291,496,15,12, ,66,30,86,63,65,11,16,12,197,311,2,10,32,4,16
"Mundy, David",FR,22,249,97,245,494,19,13,4,91,24,71,89,63,21,22,8,230,275,13,16,36, ,11
"Salem, Christian",ME,24,320,85,174,494,6,7, ,84,95,59,37,60,17,25,2,153,305,7,2,47,12,7
"Steele, Jack",SK,21,207,83,286,493,7,2,3,140,33,53,72,59,21,29,1,215,294,12,4,41,2,9
"Goddard, Brendon",ES,22,239,137,251,490,3,2, ,37,59,35,31,58,11,17,1,112,378,11,3,37,8,7
"Petracca, Christian",ME,24,268,95,218,486,19,23,4,73,15,103,62,88,14,22,3,230,261,11,21,32,3,22
"Miller, Touk",GC,22,198,77,287,485,6,7, ,123,57,57,98,77,38,27,4,250,245,3,7,43,1,5
"Cotchin, Trent",RI,22,255,49,230,485,5,13,3,103,25,89,110,69,18,26,10,253,236,4,6,31,5,15
