Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Hannebery, Dan",SY,26,365,94,437,802,13,18, ,127,40,128,123,93,31,31,21,342,463,2,13,37,7,15
"Kennedy, Josh",SY,25,315,67,472,787,20,9,1,139,31,121,191,86,20,26,14,425,369,4,6,28,2,22
"Dangerfield, Patrick",GE,24,387,122,375,762,24,24,9,109,35,194,159,92,46,30,35,388,386,29,18,29,18,22
"Neale, Lachie",FR,22,289,90,448,737,7,4, ,101,44,63,162,80,25,21,20,359,374,6,4,10,3,6
"Mitchell, Tom",SY,26,282,101,443,725,15,13, ,160,37,98,93,77,16,24,12,312,425,1,7,22,7,17
"Hunter, Lachie",WB,26,391,146,328,719,10,14, ,66,48,97,64,84,40,24,13,213,514,4,13,39,10,16
"Parker, Luke",SY,26,330,90,369,699,25,18,37,170,38,93,157,100,37,45,26,353,343,16,19,42, ,19
"Martin, Dustin",RI,22,427,99,257,684,9,9, ,80,54,112,114,113,18,46,25,277,401,10,13,22,16,16
"Selwood, Joel",GE,24,341,83,338,679,9,12,4,139,32,117,156,86,71,40,18,329,362,7,13,35, ,21
"Treloar, Adam",CW,22,283,71,390,673,13,18, ,139,41,88,118,65,19,20,21,263,408,1,6,10,20,21
"Merrett, Zach",ES,22,349,110,308,657,7,7, ,136,45,108,95,61,31,10,19,229,440,1,3,33,2,12
"Gaff, Andrew",WC,22,372,81,285,657,7,6, ,27,66,83,58,67,16,13,21,163,497, ,12,10,8,11
"Boyd, Matthew",WB,24,407,161,246,653, ,1, ,49,118,51,18,58,17,14,2,171,431,10,2,51,14,6
"Mitchell, Sam",HW,22,343,80,309,652, ,3,3,79,56,84,119,68,32,23,16,216,427,4,4,29,15,11
"Coniglio, Stephen",GW,23,291,70,353,644,12,10,7,129,35,86,129,65,26,15,17,283,365,3,11,23,4,22
"Shiel, Dylan",GW,23,319,82,320,639,13,15,1,84,42,93,128,65,28,16,7,240,392, ,2,23,28,16
"Lloyd, Jake",SY,26,390,105,244,634,6,3, ,59,94,79,40,68,23,10, ,180,442,2,2,43,7,6
"Bontempelli, Marcus",WB,26,301,99,332,633,26,17,66,123,30,112,108,73,38,25,20,285,366,13,22,57,4,20
"Lewis, Jordan",HW,24,324,133,309,633,12,8,61,100,48,86,115,79,28,28,11,222,401,4,7,43,2,9
"Pendlebury, Scott",CW,22,289,78,341,630,11,7,9,123,46,87,101,53,30,16,17,278,361,3,3,42,10,16
"Jones, Nathan",ME,22,288,56,329,617,10,11, ,118,30,96,112,67,23,31,11,230,371,3,4,19,5,13
"Steven, Jack",SK,22,310,62,305,615,14,6, ,123,26,117,121,66,27,13,16,250,357,2,7,17,16,17
"Crouch, Matt",AD,22,250,75,359,609,5,3, ,100,37,56,106,77,23,23,7,251,355,1,3,20,7,4
"Macrae, Jack",WB,22,271,104,336,607,2,4,1,96,31,68,54,59,30,18,1,203,413,4,6,32,3,10
"Priddis, Matt",WC,22,214,40,383,597,4,4, ,188,25,65,148,73,27,27,17,354,263,3,2,22, ,9
"Simpson, Kade",CA,22,383,152,214,597,3, , ,54,101,52,14,57,18,20,3,125,450,6,2,53,38,15
"Shuey, Luke",WC,23,272,56,324,596,12,8,7,149,45,87,151,80,55,34,10,285,317,2,3,17,18,24
"Picken, Liam",WB,26,300,121,294,594,17,11,2,107,32,90,64,78,29,26,4,230,358,14,20,35,8,20
"Scully, Tom",GW,24,282,112,308,590,23,13, ,103,36,111,68,69,16,28,7,213,387, ,12,21,32,21
"Gibbs, Bryce",CA,22,320,77,270,590,18,12,50,114,34,99,104,64,22,20,13,210,375, ,16,21,7,16
"Montagna, Leigh",SK,22,339,135,249,588,4,4, ,60,65,79,30,53,13,15,7,130,442,6,2,31,16,16
"Ross, Sebastian",SK,22,299,95,283,582,3,5,34,96,33,101,88,60,12,12,10,173,416,2,6,40,10,7
"Sloane, Rory",AD,23,271,88,309,580,13,10,34,163,22,92,115,72,31,28,24,292,292,16,10,63,8,19
"Shaw, Heath",GW,24,503,183,77,580,1, ,2,61,188,39,12,90,11,23,2,135,368,18, ,88,70, 
"Wines, Ollie",PA,22,262,63,314,576,11,13,69,128,29,92,137,103,23,24,11,302,270,8,9,23,3,11
"Kelly, Josh",GW,24,301,90,265,566,14,16, ,94,35,102,62,54,13,12,6,191,385,2,9,24,13,18
"Cripps, Patrick",CA,21,176,68,390,566,10,14,36,139,24,60,185,81,34,41,18,354,215,7,9,17,12,9
"Docherty, Sam",CA,22,359,173,207,566,1,2, ,57,119,45,13,61,15,13,1,138,399,17,2,72,23,7
"Jack, Kieren",SY,25,310,83,254,564,13,13, ,145,34,102,86,80,24,28,3,247,329,3,15,19,2,23
"Ward, Callan",GW,24,272,82,287,559,16,12,49,109,32,90,134,52,45,20,12,273,295,7,5,27,15,21
"Birchall, Grant",HW,24,318,147,232,550,2,2,1,29,63,56,14,40,8,12,2,100,423,3, ,48,2,5
"Duncan, Mitch",GE,24,285,130,264,549,9,13,5,110,36,100,55,72,34,29,2,166,391,3,8,29,9,21
"Viney, Jack",ME,21,224,72,324,548,8,2, ,148,22,77,125,82,28,27,14,270,289,9,10,18,8,9
"Dahlhaus, Luke",WB,21,228,67,318,546,9,8, ,113,13,83,72,64,25,20,7,228,322,2,7,22,9,8
"Biggs, Shane",WB,26,334,116,212,546,4,2, ,54,63,81,13,62,9,12,3,103,444,7,3,58,13,3
"Dal Santo, Nick",NM,22,249,79,296,545,6,5,9,72,38,62,68,43,15,9,3,181,363,3,6,34,7,10
"Enright, Corey",GE,23,322,130,220,542,4,2,1,66,81,29,27,64,12,25,8,171,358,6,3,71,3,7
"Smith, Isaac",HW,24,335,139,206,541,9,16,17,66,49,101,42,61,16,21,4,116,425,2,8,23,44,11
"Cotchin, Trent",RI,20,291,56,248,539,10,6,4,92,53,77,122,75,37,24,9,243,290,4,5,19,6,13
"Vince, Bernie",ME,21,357,81,177,534,6,10,7,65,78,72,70,84,34,29,6,174,340,8,7,30,4,8
"Tyson, Dom",ME,21,230,87,299,529,11,11,9,90,37,71,88,68,13,19,6,219,312,4,5,14,5,11
"Guthrie, Cameron",GE,23,226,75,301,527,12,7,3,77,47,51,63,61,10,27,3,183,336,7,1,34,18,7
"Thompson, Scott",AD,22,256,72,271,527,4,3,3,158,15,81,127,82,31,31,5,239,283,3,3,14, ,9
"Boak, Travis",PA,22,252,68,274,526,17,10,1,103,21,88,98,73,18,26,7,213,311,2,9,33,4,12
"Gibson, Sam",NM,23,286,120,239,525,13,11, ,65,35,84,49,53,27,8,6,148,385,5,10,18,1,10
"Curnow, Ed",CA,21,275,76,249,524,5,9, ,147,48,68,86,62,28,23,3,205,316,2,6,19,6,11
"Zaharakis, David",ES,21,281,75,241,522,5,6, ,99,41,65,75,56,21,13,6,172,345, ,2,19,11,8
"Hill, Stephen",FR,21,332,63,190,522,4,7,18,81,57,96,80,79,10,14,2,178,335,4,4,37,19,13
"Laird, Rory",AD,19,251,127,270,521,1,1, ,40,63,40,20,44,21,9,11,158,363,6, ,24,1,4
"Ellis, Brandon",RI,22,290,134,230,520,5,9,1,56,50,53,38,47,12,13,3,141,379,4,5,24,19,5
"Daniel, Caleb",WB,24,279,89,239,518,11,9, ,79,26,65,46,54,13,14, ,157,359,1,3,28,17,16
"Goddard, Brendon",ES,20,256,117,262,518,3,7,43,73,53,66,61,55,23,17, ,158,362,8,2,37,6,6
"Ziebell, Jack",NM,23,352,84,163,515,18,13,12,112,37,106,104,91,43,28,7,241,277,9,9,32,5,8
"Sidebottom, Steele",CW,20,273,108,241,514,17,7, ,90,43,71,52,53,17,15,7,171,350,8,11,34,10,13
"Newnes, Jack",SK,22,307,98,205,512,15,3,11,66,63,104,38,70,22,22, ,141,369,4,6,35,11,13
"Rockliff, Tom",BL,17,243,67,265,508,15,3,1,117,32,53,92,55,12,17,9,200,297,1,5,9,4,9
"Kelly, James",ES,20,268,129,238,506,2,3, ,86,59,42,40,68,21,22, ,155,342,5,2,42,2,4
"Gray, Robbie",PA,19,237,51,262,499,25,16, ,91,37,87,117,73,30,31,19,258,256,5,16,30,20,17
