Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Ratten, Brett",CA,25,395,115,300,695,25,18,2,75,29,122,169,55,22,14,18,320,375,6,30,53,16, 
"Camporeale, Scott",CA,25,493,77,201,694,31,21, ,43,69,149,86,47,31,38,10,217,474,4,13,31,32, 
"West, Scott",WB,23,331,80,326,657,7,5, ,51,48,104,152,70,49,16,22,298,362,2,5,35,7, 
"Bell, Peter",KA,25,387,107,262,649,24,19, ,75,54,98,145,60,47,23,8,275,376,5,16,27,25, 
"Misiti, Joe",ES,25,312,92,313,625,14,9,1,61,28,106,144,52,10,24,11,241,387,3,11,32,8, 
"Buckley, Nathan",CW,21,457,123,163,620,29,34,4,50,44,157,112,63,30,17,18,252,378,21,24,31,20, 
"Ricciuto, Mark",AD,22,334,104,247,581,20,10,1,43,43,125,150,70,22,25,10,234,353,9,13,32,15, 
"Powell, Stephen",ME,25,339,109,240,579,32,20,1,29,49,134,119,50,20,22,3,182,386,7,25,25,12, 
"Cresswell, Daryn",SY,22,364,108,202,566,23,11,4,31,37,109,142,61,17,18,11,200,355,6,11,20,10, 
"Woewodin, Shane",ME,25,367,107,187,554,20,16,6,64,58,122,116,62,33,27,24,226,330,11,19,31,21, 
"Voss, Michael",BL,23,318,103,232,550,14,16,3,64,46,124,111,53,25,21,16,256,299,16,16,27,29, 
"Brown, Nathan",WB,23,332,128,210,542,26,13, ,22,82,83,24,42,17,16,2,152,375,17,25,20,36, 
"Schwass, Wayne",SY,22,347,102,195,542,12,14,5,65,75,77,104,55,30,26,8,163,356,8,17,45,35, 
"Rigoni, Guy",ME,25,343,103,198,541,8,5,2,34,61,93,90,52,16,14,3,190,349,1,8,21,17, 
"Harvey, Brent",KA,25,375,107,160,535,35,32, ,50,35,131,89,54,23,18,14,228,305,4,22,38,63, 
"Yze, Adem",ME,25,411,104,123,534,37,23,1,42,54,144,49,55,21,24,14,201,297,19,16,18,28, 
"McLeod, Andrew",AD,22,371,80,153,524,28,14,1,49,49,125,73,48,20,22,20,220,291,5,8,19,26, 
"Romero, Jose",WB,21,313,91,210,523,18,7, ,33,48,98,105,46,25,14, ,159,362,3,7,18,24, 
"Koutoufides, Anthony",CA,20,282,127,239,521,36,19,19,40,33,80,126,48,26,15,19,298,223,55,31,23,1, 
"Lappin, Nigel",BL,24,337,107,179,516,16,12,5,33,49,129,77,44,18,12,10,183,327,4,10,46,76, 
"Morrison, Chad",WC,22,338,101,169,507,13,7,5,33,78,63,63,57,26,16,3,205,286,14,8,26,24, 
"King, David",KA,25,399,92,105,504,27,11,1,50,79,141,69,61,32,33,12,209,254,14,8,49,60, 
"Burke, Nathan",SK,22,363,92,141,504,8,7, ,52,72,85,105,53,23,21,6,184,316,6,12,62,11, 
"OBree, Shane",CW,22,334,83,164,498,12,10, ,56,64,73,103,40,15,20,5,194,298,1,6,19,10, 
"Leoncelli, Andrew",ME,24,313,104,184,497,15,7,3,63,47,100,99,39,16,20,9,142,354,2,11,21,9, 
"Bowden, Joel",RI,22,293,124,203,496,19,14,19,51,78,85,57,59,25,21,4,191,274,24,18,40,73, 
"Simpson, Adam",KA,25,376,87,116,492,5,6,29,83,49,102,128,42,21,20, ,196,276,11,3,57,1, 
"Caracella, Blake",ES,24,270,138,219,489,35,17,8,43,18,95,55,53,19,23,10,182,315,14,30,39,16, 
"Cook, Troy",FR,22,310,88,179,489,11,10, ,67,44,82,106,48,20,25,13,202,305,7,5,31,25, 
"Woods, Tony",HW,22,298,96,191,489,6,9,1,38,31,101,109,40,14,17,2,182,320,4,3,48,18, 
"Kemp, Dean",WC,20,297,78,188,485,4,4,1,56,32,101,120,49,24,12,13,212,270,3,1,31,10, 
"McKay, Andrew",CA,25,271,121,206,477,3,7,2,51,73,54,40,46,14,28,8,161,316,11,7,57,9, 
"Hocking, Garry",GE,21,255,70,217,472,17,3,1,59,22,65,161,68,38,44,7,242,219,3,12,32,13, 
"McDonald, Anthony",ME,25,272,120,200,472,11,9, ,59,41,105,61,35,33,30,2,170,311,6,9,29,27, 
"Harford, Daniel",HW,22,274,101,195,469,14,5, ,44,59,68,93,42,27,16,4,223,254,7,9,50,11, 
"Johnson, Jason",ES,25,317,79,151,468,14,20, ,53,40,123,96,63,18,26,8,194,279,5,10,24,21, 
"Johnson, Brad",WB,21,346,120,121,467,32,16, ,35,37,88,48,47,19,21,6,147,298,21,23,29,43, 
"Licuria, Paul",CW,22,301,102,161,462,2,6, ,37,71,75,32,43,18,21, ,158,312,7,6,21,16, 
"Goodwin, Simon",AD,22,284,104,177,461,15,21,1,28,67,100,59,44,17,16,7,191,275,8,6,26,6, 
"Akermanis, Jason",BL,21,322,107,138,460,26,13, ,36,46,111,57,38,17,17,9,184,266,8,16,33,53, 
"Thompson, Andrew",SK,21,249,71,211,460,14,10,1,42,27,94,95,52,21,18,4,201,257,8,7,38, , 
"Blakey, John",KA,25,299,128,158,457,10,8,5,26,78,69,59,32,26,17,8,177,264,25,6,38,17, 
"Black, Simon",BL,19,273,61,181,454,16,12,5,62,27,100,143,50,19,27,4,230,228,5,11,44,10, 
"Knights, Matthew",RI,22,240,82,212,452,11,6, ,52,10,78,62,38,39,28,9,206,245,7,9,23,4, 
"Hasleby, Paul",FR,21,280,67,169,449,15,11, ,48,18,101,118,44,17,20,6,182,271,7,7,28,9, 
