Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Swan, Dane",CW,24,472,129,288,760,32,23,1,77,46,124,147,78,22,17,34,307,425,9,19,23,33,23
"Pendlebury, Scott",CW,25,385,106,357,742,24,12,6,150,33,110,130,45,43,18,24,332,404,7,14,43,22,22
"Mitchell, Sam",HW,23,404,94,297,701,12,8,2,99,34,108,131,91,41,34,30,295,419,1,9,31,11,19
"Boyd, Matthew",WB,22,398,85,303,701,8,5,13,113,75,115,154,76,39,20,24,326,378,4,6,32,5,23
"Murphy, Marc",CA,24,391,108,308,699,22,13,1,108,41,111,129,59,60,23,19,306,397,3,8,34,33,19
"Thompson, Scott",AD,22,343,94,330,673,8,6,2,119,46,84,136,101,27,45,12,271,408,8,10,30,3,18
"Priddis, Matt",WC,25,276,76,386,662,9,5,3,193,26,89,159,62,44,24,19,362,303,6,4,34,6,10
"Judd, Chris",CA,24,301,69,332,633,14,16, ,148,29,105,159,70,32,30,23,333,291,7,9,38,5,33
"Scotland, Heath",CA,24,346,163,271,617,5,5,2,73,55,90,54,37,22,11,8,192,416,14,8,52,14,7
"Dal Santo, Nick",SK,23,338,77,277,615,14,8,29,121,71,80,118,50,25,12,28,257,336,2,8,40,48,18
"Ablett, Gary",GC,20,304,45,301,605,18,17, ,119,62,99,133,51,38,15,23,295,318,4,6,30,22,15
"Black, Simon",BL,22,285,62,305,590,4,9,2,95,41,80,116,72,23,30,9,278,337, ,3,37,8,18
"Kelly, James",GE,24,319,62,258,577,5,12,2,186,35,114,105,93,23,46,6,240,324,4,7,40,6,10
"Birchall, Grant",HW,24,344,173,226,570,3,7, ,38,66,50,15,40,12,9,7,139,419,10,3,65,17,4
"Shiels, Liam",HW,25,344,138,221,565,11,14,11,150,28,101,81,77,32,31, ,199,372,3,7,53,9,16
"Deledio, Brett",RI,22,281,91,282,563,9,11,7,65,82,85,56,36,23,8,5,175,362,9,1,68,36,4
"Swallow, Andrew",NM,22,268,69,294,562,11,7,2,145,40,95,148,72,49,39,16,302,271,4,3,34,8,13
"Rockliff, Tom",BL,20,310,111,244,554,12,10,1,108,71,61,82,55,23,16,9,228,318,1,9,24,4,17
"Gibbs, Bryce",CA,23,381,174,167,548,21,18,3,82,66,82,43,50,19,19,12,172,366,13,20,50,20,14
"OKeefe, Ryan",SY,24,317,75,226,543,20,20,3,139,39,91,116,78,24,31,12,297,238,13,14,35,2,6
"Goddard, Brendon",SK,23,309,131,233,542,13,11,15,90,66,81,50,55,26,25,9,171,352,13,11,54,19,15
"Chapman, Paul",GE,23,312,122,228,540,24,14,1,104,32,94,72,55,28,26,9,191,335,10,13,28,6,20
"Simpson, Kade",CA,24,361,147,175,536,17,18,5,79,36,114,62,54,26,17,5,181,349,10,17,42,44,20
"Hodge, Luke",HW,22,325,106,209,534,19,18,39,76,47,78,80,77,32,31,17,218,318,17,21,85,2,8
"Cotchin, Trent",RI,22,372,80,158,530,18,18,11,73,47,108,135,72,35,25,15,261,263,5,9,43,13,11
"Cross, Daniel",WB,22,207,125,323,530,1,2,42,125,38,37,70,60,32,28,6,217,323,17,3,61,1,5
"Bartel, Jimmy",GE,24,325,142,204,529,26,6,13,94,35,97,57,70,28,29,8,212,310,34,13,57,2,13
"Griffen, Ryan",WB,22,341,75,187,528,24,17,13,102,50,130,86,58,23,21,7,212,314,6,12,47,48,24
"Thomas, Dale",CW,21,342,127,186,528,13,14,9,88,42,83,78,71,34,26,10,209,308,15,18,45,38,11
"Kennedy, Josh",SY,24,272,54,256,528,10,19,2,135,23,94,168,63,20,22,3,353,177,8,7,34,1,6
"Fyfe, Nat",FR,21,253,111,274,527,18,14,11,85,33,79,75,69,19,22,13,262,267,43,21,50,23,14
"Redden, Jack",BL,22,284,119,242,526,14,5,14,166,45,60,76,72,29,29,1,208,314,19,5,41,1,8
"Stanton, Brent",ES,21,343,107,178,521,15,14,4,116,53,81,76,59,29,20,6,186,343,8,15,34,15,12
"Corey, Joel",GE,21,257,77,262,519,8,5,29,90,29,94,88,79,25,27,11,228,287,7,5,44,5,19
"Embley, Andrew",WC,24,312,113,206,518,17,19,6,104,48,103,50,71,35,28,11,186,331,11,13,62,15,9
"Selwood, Joel",GE,20,296,82,222,518,15,12,13,125,29,114,109,64,60,26,17,253,282,11,12,39,6,27
"van Berlo, Nathan",AD,22,282,126,236,518,12,12,12,76,42,79,61,57,19,19,9,165,348,12,9,34,7,9
"Ball, Luke",CW,24,282,107,235,517,18,3,3,166,28,76,104,70,39,42,4,237,293,13,10,42,1,26
"Robinson, Mitch",CA,23,304,121,213,517,10,21,15,97,28,96,73,77,18,28,9,221,302,14,12,52,5,9
"Johnson, Steve",GE,23,319,143,195,514,50,37,2,84,24,94,56,67,31,20,12,187,321,13,49,36,11,31
"Enright, Corey",GE,23,330,144,183,513,1, ,1,64,80,53,18,52,14,19,3,152,350,14,1,96,6,3
"Goodes, Adam",SY,24,320,144,191,511,41,32,17,87,14,136,80,73,31,28,19,265,239,44,37,56,9,23
"Sewell, Brad",HW,22,235,76,275,510,5,3,6,114,12,75,100,42,21,20,7,229,285,6,5,27,2,5
"Moloney, Brent",ME,22,282,41,227,509,9,4, ,124,22,91,153,51,23,20,19,271,233,1,3,47,14,9
"Jones, Nathan",ME,22,266,100,241,507,14,9, ,68,47,83,44,58,16,24,1,161,350,4,7,38,17,12
"Montagna, Leigh",SK,21,335,88,171,506,13,10, ,94,49,90,83,65,22,24,10,180,325,5,7,19,18,15
"Shuey, Luke",WC,25,323,65,179,502,24,22, ,104,35,117,114,59,40,25,12,244,270,4,6,35,24,21
"Rischitelli, Michael",GC,21,241,97,256,497,10,9,1,114,35,90,95,50,21,22,2,207,297,4,8,58,5,3
"Hannebery, Dan",SY,24,254,95,243,497,6,6, ,78,35,78,56,56,21,18,2,210,294,9,12,42,3,13
"Lewis, Jordan",HW,22,267,123,228,495,12,8,75,68,21,96,76,64,30,30,2,191,306,7,14,31,3,23
"Heppell, Dyson",ES,23,262,132,231,493,3,4,13,63,56,58,37,36,15,11,4,151,355,6,3,63,13,12
"Harvey, Brent",NM,22,304,80,188,492,31,25, ,59,33,86,55,49,14,17,8,171,314,7,13,22,60,14
"Wells, Daniel",NM,21,312,80,180,492,17,15,13,80,37,101,94,49,25,16,5,187,308,5,11,49,13,16
"Suckling, Matt",HW,23,351,138,140,491,8,11, ,45,94,53,14,54,9,19,4,104,343,5, ,43,15,3
"Sidebottom, Steele",CW,25,275,128,214,489,25,13,1,107,31,71,44,51,13,24,4,158,337,6,14,37,14,19
"Rawlings, Brady",NM,22,238,95,251,489,2,1, ,56,73,38,24,65,17,18,6,152,324,4,1,47,3, 
