Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Edwards, Shane",RI,24,239,79,287,526,7,2, ,75,60,65,87,86,22,29, ,234,278,8,2,46,4,11
"Shaw, Heath",GW,26,420,177,103,523, ,1, ,60,168,27,8,96,11,28, ,130,329,14,1,79,50,1
"McCluggage, Hugh",BL,23,320,90,201,521,23,14, ,84,40,98,77,72,23,16,5,196,332, ,11,23,7,11
"Whitfield, Lachie",GW,19,322,146,191,513,11,7, ,53,65,68,64,50,13,14,12,137,356,1,10,19,9,8
"Rockliff, Tom",PA,18,273,66,240,513,2,2, ,83,25,63,109,61,20,24,7,208,290, ,3,8, ,8
"Grundy, Brodie",CW,24,237,105,274,511,7,11,1022,104,28,50,146,102,53,47,23,329,202,29,4,64,4,4
"Polec, Jared",NM,22,338,101,171,509,16,12, ,53,49,86,42,68,12,17,5,133,377,6,8,29,10,8
"Swallow, David",GC,22,282,87,227,509,13,7, ,84,39,81,119,88,28,27,7,256,249,5,11,27,1,8
"Kelly, Josh",GW,18,287,69,220,507,14,11, ,96,26,75,86,49,20,7,11,197,312,3,7,19,4,10
"Smith, Brodie",AD,22,326,109,178,504,10,12, ,55,92,85,27,74,10,17,1,156,309,7,4,45,17,10
"Kennedy, Josh",SY,19,233,52,271,504,7,9, ,126,23,69,118,69,16,21,9,241,253,2,4,18, ,11
"Mundy, David",FR,22,230,60,272,502,8,7,1,86,30,81,120,61,12,20,8,259,273,2,9,51, ,16
"Curnow, Ed",CA,22,267,84,229,496,9,8, ,112,31,68,102,66,19,21,5,228,261,2,7,24,3,14
"Robinson, Mitch",BL,23,347,121,148,495,17,12, ,99,52,111,59,86,36,31,5,181,315,10,11,53,1,8
"Dumont, Trent",NM,21,271,91,224,495,3,5, ,77,36,71,43,66,18,13,2,155,342,2,5,36,2,12
"Byrne-Jones, Darcy",PA,22,332,112,160,492, ,3, ,66,56,70,27,50,18,12,2,153,328,3,1,51,4,7
"Hurn, Shannon",WC,21,386,154,104,490, ,2, ,31,135,29,6,48,18,17,3,111,274,16, ,68,7,3
"Selwood, Joel",GE,23,275,79,214,489,6,6, ,94,39,66,96,71,43,24,3,211,286,1,5,62,2,15
"Brayshaw, Angus",ME,22,278,87,209,487,9,7, ,96,40,82,72,78,23,16, ,207,289,7,5,25, ,6
"Ellis, Brandon",RI,23,269,116,216,485,9,3, ,57,61,56,34,47,11,11, ,140,343,5,7,34,18,9
"McGrath, Andrew",ES,23,248,79,236,484,9,3, ,60,48,54,37,57,12,6, ,154,326,3,1,28,17,10
"Murphy, Marc",CA,19,279,88,204,483,12,3, ,65,45,72,64,58,22,16,6,162,306,1,4,13,6,11
