Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Ratten, Brett",CA,26,350,68,320,670,14,5,6,99,34,95,265,46,28,32,4,334,350,7,13,39,1, 
"Crawford, Shane",HW,22,388,102,252,640,14,9,1,35,73,101,103,66,39,19,28,257,354,9,9,47,35, 
"Cresswell, Daryn",SY,23,352,98,284,636,18,11,8,26,41,107,156,62,30,19,7,240,386,8,15,20,23, 
"Bradley, Craig",CA,26,430,96,196,626,9,11,4,35,82,134,84,49,28,21,18,186,429,11,13,46,49, 
"Bell, Peter",KA,25,427,96,195,622,32,20,1,48,56,114,120,32,27,18,11,287,322,10,18,30,16, 
"Schwass, Wayne",SY,23,429,98,184,613,9,9,8,49,82,103,111,58,30,40,19,188,403,5,7,35,43, 
"Fletcher, Adrian",FR,22,298,105,283,581,9,5,4,38,27,80,143,40,51,31,15,291,316,22,8,22,7, 
"Ashcroft, Marcus",BL,25,357,92,218,575,16,8, ,61,39,109,109,41,14,14,6,217,360,4,9,22,20, 
"Campbell, Wayne",RI,22,380,94,175,555,17,4,13,35,58,126,127,36,30,20,10,236,304,21,12,36,23, 
"Murphy, Justin",CA,23,306,121,244,550,18,15,1,24,37,94,56,58,17,28,3,168,399,10,12,19,8, 
"Stevens, Anthony",KA,25,429,98,117,546,12,7,2,72,78,104,139,32,17,45,4,244,300,10,5,38,22, 
"Simpson, Adam",KA,25,409,113,136,545,5,9,48,54,50,128,132,37,20,20,7,241,286,23,3,61,3, 
"Johnson, Brad",WB,24,382,133,162,544,26,21,1,22,48,109,72,37,19,16,3,190,348,15,22,23,28, 
"Camporeale, Scott",CA,23,380,91,146,526,30,20,1,32,40,127,69,53,25,27,4,167,375,4,17,24,10, 
"Thompson, Andrew",SK,22,291,61,232,523,15,12,1,41,17,106,140,43,20,23,10,234,297,3,4,27,9, 
"Cousins, Ben",WC,22,310,75,205,515,14,13, ,25,41,97,94,47,30,17,15,210,323,5,11,17,23, 
"Scott, Chris",BL,24,363,150,150,513,4,4,6,34,65,111,48,38,25,21,7,171,337,22,9,40,13, 
"West, Scott",WB,21,244,47,268,512,11,5, ,40,39,89,111,37,33,15,14,258,248,3,7,30,2, 
"Buckley, Nathan",CW,17,378,84,125,503,21,8,6,35,33,116,100,46,19,16,20,217,292,16,8,27,23, 
"Daffy, Nick",RI,22,402,39,99,501,18,18,1,24,33,130,118,44,16,32,10,191,288,2,5,10,17, 
"Grant, Shannon",KA,24,310,110,181,491,37,11, ,27,39,96,48,33,25,27,12,181,306,15,15,31,14, 
