Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Crouch, Matt",AD,25,345,76,480,825,7,7, ,119,53,83,146,79,18,19,11,337,492,1,2,31,4,16
"Mitchell, Tom",HW,22,307,117,480,787,10,10, ,143,46,76,138,99,32,36,25,325,473,2,6,20,7,8
"Martin, Dustin",RI,25,479,103,265,744,37,29, ,88,23,150,160,124,37,44,36,363,360,25,26,26,24,29
"Laird, Rory",AD,25,367,143,369,736,3,1, ,55,116,60,29,65,28,15,9,214,518,8,2,41, ,3
"Dangerfield, Patrick",GE,24,324,109,394,718,45,32, ,141,22,127,172,106,61,36,33,430,307,34,37,25,18,20
"Gaff, Andrew",WC,24,414,127,299,713,6,6, ,49,62,81,47,83,18,15,9,169,554,1,8,19,9,15
"Kelly, Josh",GW,24,338,85,370,708,19,24, ,156,35,121,117,70,22,20,21,266,455,5,8,21,19,15
"Duncan, Mitch",GE,24,344,158,354,698,15,13, ,128,52,101,103,80,26,30,11,228,487,5,9,30,14,13
"Ward, Callan",GW,25,353,90,324,677,14,10, ,98,36,77,161,68,33,26,11,293,389,4,6,23,20,16
"Merrett, Zach",ES,22,382,95,277,659,9,8, ,122,64,87,93,66,37,9,15,198,454,1,3,20,13,13
"Oliver, Clayton",ME,22,177,68,482,659,4,3,1,152,34,65,146,76,20,40,12,344,324,4,2,19, ,14
"Ross, Sebastian",SK,22,318,79,339,657,5,9,1,94,43,89,110,60,13,18,14,216,445,2,3,33,5,13
"Shiel, Dylan",GW,25,329,65,327,656,12,15, ,92,35,108,161,87,23,21,11,279,382, ,6,30,16,15
"Murphy, Marc",CA,22,360,127,296,656,11,9, ,86,36,97,100,75,29,19,9,225,430, ,6,15,9,15
"Adams, Taylor",CW,22,328,111,321,649,9,8, ,140,35,93,123,96,32,30,14,257,394,3,9,27,12,14
"Wines, Ollie",PA,23,284,79,344,628,15,16, ,117,21,97,138,87,30,28,18,317,298,17,12,31,4,15
"Treloar, Adam",CW,21,275,54,353,628,13,11,1,134,34,95,112,81,18,23,11,238,371,1,6,16,53,12
"Tuohy, Zach",GE,25,375,115,240,615,6,8, ,45,122,71,28,67,19,18,2,152,405,8,5,20,17,6
"Goddard, Brendon",ES,23,309,168,304,613,5,3, ,73,54,68,57,62,17,18, ,165,442,11,6,45,6,13
"Docherty, Sam",CA,22,460,199,153,613,3,3, ,73,126,43,25,68,19,15,5,144,419,11,2,56,23,8
"Parker, Luke",SY,24,304,85,304,608,14,17, ,134,28,89,153,106,43,45,16,317,291,18,16,40,1,15
"Heppell, Dyson",ES,23,314,118,292,606,12,8, ,96,49,99,107,79,35,24,14,258,358,9,9,37,5,14
"Shuey, Luke",WC,23,312,93,293,605,11,7, ,134,27,93,132,81,45,36,10,252,357, ,6,33,15,17
"Macrae, Jack",WB,22,260,100,345,605,2,5, ,127,28,68,85,41,34,14,8,239,362,5,5,24,5,10
"Sidebottom, Steele",CW,22,344,115,256,600,16,9, ,93,30,91,76,71,21,20,14,181,412, ,6,30,21,13
"Lloyd, Jake",SY,23,370,136,227,597,6,4, ,34,93,53,26,61,12,14,2,119,449,3,7,29,7,5
"Kennedy, Josh",SY,21,248,52,344,592,16,6, ,103,27,84,142,78,20,28,23,317,280,3,5,22,1,6
"Mitchell, Sam",WC,22,289,81,303,592,4,4, ,67,51,65,103,62,24,19,7,219,388,5,4,36,14,16
"Cotchin, Trent",RI,25,347,85,243,590,17,8, ,139,41,105,131,97,45,35,8,294,288,11,6,43,10,14
"Gibbs, Bryce",CA,22,362,114,228,590,17,13, ,129,42,79,112,80,24,24,11,223,365,3,9,21,2,12
"Zaharakis, David",ES,23,323,107,267,590,11,14, ,107,49,108,50,66,9,14,11,149,443, ,7,21,20,19
"Sloane, Rory",AD,24,314,75,267,581,20,7, ,187,34,109,152,91,62,37,20,318,275,16,10,70,1,13
"Grigg, Shaun",RI,25,322,131,255,577,15,13,6,94,48,112,71,85,22,25,7,193,368,4,21,26,7,13
"Neale, Lachie",FR,21,245,94,327,572,14,6, ,94,38,61,143,58,35,22,14,274,303,6,8,18,15,12
"Hannebery, Dan",SY,23,241,93,328,569,12,4, ,119,34,73,71,63,15,22,6,226,344,4,12,13,3,15
"Ebert, Brad",PA,23,289,84,280,569,7,8, ,176,31,101,112,78,15,27,15,246,323,10,5,37,3,18
"Crouch, Brad",AD,20,237,56,324,561,8,10, ,137,34,83,117,71,25,14,3,253,290,1,3,16,3,13
"Ellis, Brandon",RI,25,331,126,226,557,7,4, ,51,81,56,27,69,16,25,1,166,374,6,4,43,26,7
"Fyfe, Nat",FR,21,236,95,319,555,17,13, ,96,29,82,124,89,35,40,15,313,253,38,9,57,9,10
"Scully, Tom",GW,24,240,90,314,554,15,7, ,75,35,88,81,63,16,14,3,216,351,1,8,18,17,19
"Dahlhaus, Luke",WB,22,199,74,352,551,13,6, ,93,26,65,60,60,23,18,6,214,347,5,7,26,10,9
"Douglas, Richard",AD,25,317,71,225,542,15,9, ,96,38,90,105,84,27,26,1,240,309,6,11,26,10,17
"Hurley, Michael",ES,21,355,161,182,537,3,1, ,22,145,25,5,63,14,13,4,130,343,16,1,108,5,2
"Atkins, Rory",AD,25,307,118,229,536,11,8, ,61,54,97,48,81,13,22,10,165,377,8,7,35,24,17
"Selwood, Joel",GE,21,247,67,289,536,7,4, ,107,32,78,128,79,70,30,13,286,261,11,5,35,3,16
"Yeo, Elliot",WC,23,345,161,187,532,8,7, ,76,77,84,51,69,25,24,4,217,308,25,6,54,9,11
"Simpson, Kade",CA,22,377,162,152,529,4,3, ,59,83,60,33,63,19,18,8,144,362,5,6,36,21,11
"Menegola, Sam",GE,22,255,109,272,527,17,20, ,129,36,89,58,70,14,19,6,206,329,9,19,22,2,13
"Zorko, Dayne",BL,21,341,79,185,526,34,27, ,147,44,104,113,92,38,29,14,219,304,7,11,24,13,13
"Steven, Jack",SK,20,259,55,267,526,6,15, ,93,21,85,107,72,22,15,11,209,320,1,2,24,14,13
"Priddis, Matt",WC,21,178,48,341,519,6,6, ,163,20,70,117,65,21,23,3,268,263,2,7,19, ,9
"Hill, Bradley",FR,22,362,139,156,518,13,14, ,45,52,86,27,66,7,11,4,88,427,1,8,18,22,10
"Lambert, Kane",RI,24,252,86,263,515,13,13, ,110,18,98,60,59,15,11,2,191,314,3,17,23,5,23
"Shaw, Heath",GW,25,393,151,122,515, ,4, ,37,136,36,8,78,15,19, ,120,345,9,2,74,59,5
"Beams, Dayne",BL,19,276,86,238,514,20,11, ,79,41,56,93,64,23,15,17,201,307,6,13,20,3,12
"Cunnington, Ben",NM,20,184,58,327,511,10,5, ,97,23,55,139,79,17,30,11,294,221,9,6,15, ,8
"Prestia, Dion",RI,22,259,62,252,511,7,12, ,93,32,75,89,69,16,14,5,208,306,1,5,31,10,12
"Williams, Zac",GW,23,302,75,208,510,7,8, ,89,66,61,47,69,14,19,6,179,328,7,4,41,21,12
"Billings, Jack",SK,22,254,122,254,508,23,36, ,69,25,87,32,49,16,7,11,165,346,11,31,22,8,22
"Roberton, Dylan",SK,22,385,137,123,508,5,4, ,38,124,39,9,51,15,9,5,110,341,13, ,54,21,1
"Bontempelli, Marcus",WB,22,285,88,220,505,20,29,3,138,28,100,92,76,32,30,19,259,258,21,23,44,7,19
"Newnes, Jack",SK,22,293,124,212,505,7,10, ,68,75,75,31,67,12,24,2,144,376,6,9,35,18,7
"Smith, Isaac",HW,22,313,130,187,500,14,12, ,65,45,100,53,45,11,12,2,117,383, ,8,30,22,13
"Lewis, Jordan",ME,19,216,93,284,500,5,3, ,47,30,57,68,68,23,17,2,174,335,5,4,42,4,11
"Hunter, Lachie",WB,22,302,116,195,497,18,9, ,56,43,64,35,54,19,8,2,147,342,6,15,33,11,6
"Houli, Bachar",RI,21,291,108,205,496,5,9, ,75,87,49,22,53,11,11,1,127,323,6,7,42,12,5
