Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Swan, Dane",CW,23,436,131,281,717,21,21,1,79,49,119,115,70,15,12,26,265,437,12,29,21,39,18
"Pendlebury, Scott",CW,23,329,88,359,688,18,9,1,119,40,95,131,53,40,9,21,290,397,8,4,28,12,19
"McVeigh, Jarrad",SY,25,404,102,284,688,16,7, ,88,89,88,71,56,15,19,12,226,423,4,8,41,9,7
"Kennedy, Josh",SY,25,257,42,421,678,14,16, ,123,25,80,187,64,18,20,14,410,267,7,8,26,3,17
"Mitchell, Sam",HW,24,371,83,302,673,5,5,3,78,68,84,106,63,26,25,16,232,440,3,5,46,27,21
"Ablett, Gary",GC,21,343,73,312,655,28,23, ,96,39,113,124,73,35,25,28,313,333,9,12,17,25,17
"Barlow, Michael",FR,24,302,100,334,636,14,13,27,142,38,70,121,68,17,21,14,306,320,5,12,9,5,19
"Stokes, Mathew",GE,24,285,123,348,633,12,6,1,65,27,88,58,58,29,18,7,226,404,4,11,14,2,25
"Jack, Kieren",SY,25,350,53,281,631,24,14, ,159,34,145,130,66,21,25,19,269,358,1,6,28,8,27
"Cornes, Kane",PA,23,341,127,289,630,5,4, ,107,62,59,57,54,26,17,8,177,455,1,2,17,13,9
"Montagna, Leigh",SK,21,395,101,226,621,16,8,1,82,68,95,79,66,20,15,16,180,419,1,4,13,33,14
"Selwood, Joel",GE,25,307,102,308,615,30,16,21,140,30,103,128,63,73,28,27,299,321,7,20,38,5,20
"Hannebery, Dan",SY,24,275,80,332,607,17,16, ,67,29,81,80,69,25,21,21,247,356,5,14,11,5,16
"Steven, Jack",SK,22,312,83,279,591,16,8,1,87,34,85,118,59,28,21,8,239,363,3,9,21,51,15
"Boak, Travis",PA,23,315,99,266,581,20,13,1,96,27,120,124,59,28,16,13,254,322,9,11,20,8,16
"Griffen, Ryan",WB,20,304,63,275,579,14,10,4,98,28,121,120,64,41,24,14,262,313,11,7,48,36,11
"OKeefe, Ryan",SY,25,308,96,267,575,12,11,2,164,37,77,125,69,40,33,6,309,270,7,11,29,4,10
