Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Buckley, Nathan",CW,24,458,102,192,650,22,23,13,89,51,159,141,70,36,21,22,276,372,12,10,43,19,18
"Black, Simon",BL,26,326,73,308,634,16,14,5,113,33,133,149,67,24,25,12,320,317,1,5,32,20,15
"West, Scott",WB,22,277,107,343,620,3,6, ,67,56,85,122,42,35,11,4,262,369,1,7,58,12,10
"Bell, Peter",FR,23,354,111,242,596,20,9, ,72,69,69,83,40,27,16,19,245,348,15,8,31,39,17
"Harvey, Robert",SK,22,361,114,219,580,12,11, ,59,50,103,116,41,17,12,18,223,357,3,9,25,16,16
"Hayes, Lenny",SK,22,342,93,226,568,13,6,4,101,38,111,101,53,13,24,8,226,341,4,3,35,19,14
"Ricciuto, Mark",AD,24,333,79,232,565,24,16, ,69,60,108,105,46,21,21,22,244,312,15,19,28,9,12
"Licuria, Paul",CW,24,300,118,264,564,14,10, ,72,41,105,98,62,13,32,11,221,339,6,9,23,22,9
"Lappin, Nigel",BL,22,371,124,191,562,8,15,4,70,60,119,92,49,16,8,17,207,348,2,8,35,32,6
"Hasleby, Paul",FR,23,341,132,220,561,17,17,3,51,24,103,107,52,21,17,13,250,306,16,24,34,21,18
"Stevens, Nick",PA,23,361,76,194,555,10,18,1,64,48,97,99,60,17,12,12,208,319,6,9,29,40,18
"Power, Luke",BL,26,349,120,190,539,27,12, ,72,45,105,88,35,11,10,5,225,319,9,12,49,33,18
"Voss, Michael",BL,25,283,105,252,535,20,17,5,66,29,113,101,32,18,15,19,238,302,13,23,21,19,25
"Simpson, Adam",KA,21,327,126,205,532,11,6,44,45,45,102,122,54,20,14,9,230,281,23,6,46,23,16
"Wanganeen, Gavin",PA,25,433,161,91,524,15,18, ,33,86,64,40,44,31,8,21,204,313,21,15,22,65,6
"Ling, Cameron",GE,21,280,112,242,522,4,5, ,53,39,66,86,45,11,13,12,174,348,7,2,15,8,6
"Cousins, Ben",WC,23,295,68,225,520,20,8, ,42,22,111,114,41,27,14,21,258,287,3,6,33,37,11
"Crawford, Shane",HW,22,279,65,237,516,13,9,8,81,60,88,90,56,28,17,21,227,277,7,10,53,38,25
"Burns, Scott",CW,23,266,126,239,505,28,19,6,82,26,78,102,47,23,13,10,228,277,13,24,24,2,16
"Johnson, Brad",WB,22,335,146,167,502,42,23,5,40,29,87,48,65,17,12,2,169,318,21,32,36,49,18
"McLeod, Andrew",AD,24,327,45,172,499,29,14,3,65,39,119,100,56,17,20,18,231,248,2,3,18,34,17
"Smith, Rohan",WB,22,353,95,144,497,6,7, ,30,115,86,27,46,19,11,4,109,329,3,1,46,49,6
"Coughlan, Mark",RI,21,257,96,235,492,13,9,1,102,30,80,99,58,28,18,16,236,261,11,3,32,17,7
"Bowden, Joel",RI,22,300,128,181,481,12,9,3,74,62,79,61,81,15,23,2,170,302,15,9,65,34,10
"Bolton, Jude",SY,24,266,104,212,478,13,6,21,76,21,99,115,50,42,21,13,235,252,6,8,57,3,17
"Woewodin, Shane",CW,25,322,115,152,474,16,12,5,66,60,73,66,46,18,22,12,194,270,7,15,31,16,8
"Johnson, Jason",ES,22,315,105,159,474,15,13,1,50,39,96,90,54,14,15,6,202,275,2,14,19,19,13
"Koutoufides, Anthony",CA,22,234,55,234,468,6,7,24,77,35,68,125,42,17,13,5,311,149,17,7,35,3,9
"Powell, Stephen",SK,22,256,117,202,458,17,10,1,45,39,98,71,57,9,14,3,169,288,2,11,28,8,15
"Yze, Adem",ME,22,340,74,113,453,17,8, ,43,70,89,78,57,19,10,5,193,239,7,6,36,15,5
"Fletcher, Chad",WC,20,290,71,163,453,10,9, ,61,27,82,95,40,15,9,13,190,272,6,4,33,18,20
"Akermanis, Jason",BL,25,350,99,102,452,28,32, ,84,32,139,72,64,13,23,5,173,260,6,18,28,40,19
"Harvey, Brent",KA,21,314,94,137,451,28,20, ,38,45,94,64,41,18,11,16,172,257,14,17,30,78,15
