Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Neale, Lachie",BL,17,231,74,237,468,11,13, ,53,25,73,90,48,19,11, ,212,249,4,8,11,4,1
"Macrae, Jack",WB,17,193,45,262,455,3,3,7,68,29,73,71,44,28,10, ,178,286,3, ,23,4,5
"Lloyd, Jake",SY,17,284,81,155,439,1, , ,37,96,23,12,31,11,5, ,104,240,3, ,37,1,4
"Mitchell, Tom",HW,17,172,52,257,429,2,1, ,75,28,46,73,46,20,18, ,176,254,1,1,13,3,3
"Oliver, Clayton",ME,17,195,57,230,425,3,1, ,92,27,64,110,69,22,22, ,227,203,3,1,13,1,9
"Merrett, Zach",ES,16,221,69,199,420,2,2, ,55,30,78,57,46,15,12, ,124,295,2,1,19,4,7
"Crouch, Matt",AD,16,162,44,256,418,2,3, ,74,29,35,68,41,19,14, ,155,262, ,1,11,1,1
"Gaff, Andrew",WC,17,240,75,173,413,5,4, ,40,29,54,39,41,15,7, ,123,283,2,10,22,7,8
"Petracca, Christian",ME,17,201,58,199,400,15,14, ,55,20,69,65,60,18,16, ,216,199,7,15,13,2,13
"Boak, Travis",PA,17,193,47,201,394,8,7, ,63,14,70,88,33,12,6, ,170,226,2,5,15,1,11
"Whitfield, Lachie",GW,17,224,111,166,390,1,2, ,34,67,39,26,49,15,12, ,91,280,5,3,24,2,7
"Adams, Taylor",CW,17,220,62,169,389,8,2, ,90,15,56,93,59,28,22, ,181,211,4,4,22,3,4
"Laird, Rory",AD,17,186,46,203,389,3,1, ,69,54,47,52,56,19,20, ,150,248,1,1,18,1,4
"Parker, Luke",SY,17,190,54,187,377,6,5, ,84,23,52,82,66,22,21, ,192,174,4,7,31, ,6
"Steele, Jack",SK,17,186,64,190,376,10,2, ,94,20,57,89,44,22,11, ,189,186,8,9,25,1,11
"Guthrie, Cameron",GE,17,188,79,186,374,5,1, ,68,28,42,66,47,15,16, ,136,225,3,4,12,4,7
"Menegola, Sam",GE,17,211,97,161,372,13,3, ,27,33,53,47,48,3,14, ,129,244,7,10,17,1,11
"Lyons, Jarryd",BL,17,233,58,138,371,4,9, ,70,15,69,86,38,19,10, ,182,170,4,3,19, ,9
"Dangerfield, Patrick",GE,17,232,66,134,366,11,16, ,47,22,85,79,55,29,24, ,198,165,16,15,23,5,19
"Higgins, Shaun",NM,17,186,63,177,363,4,1, ,50,40,46,33,45,14,15, ,96,260,1,2,15,4,4
"Smith, Bailey",WB,17,181,29,177,358,6,7, ,45,20,58,57,36,7,11, ,123,239, ,1,7,7,5
"Bontempelli, Marcus",WB,17,197,56,158,355,11,6,1,82,23,72,89,60,15,21, ,171,198,12,11,54, ,11
