Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Black, Simon",BL,25,288,84,294,582,17,18,3,115,31,129,157,74,23,36,25,290,317,6,7,33,34, 
"Bell, Peter",FR,22,308,77,264,572,11,10, ,47,55,56,77,41,28,19,14,190,390,7,7,29,46, 
"Simpson, Adam",KA,23,403,105,162,565,7,10,20,72,56,129,145,51,27,18,7,273,291,21,4,65,7, 
"Cousins, Ben",WC,23,327,56,229,556,16,11, ,57,31,102,143,55,24,14,16,245,324,6,8,36,31, 
"Licuria, Paul",CW,25,304,116,248,552,7,10, ,68,62,76,84,72,17,39,3,198,351,5,4,30,47, 
"Yze, Adem",ME,24,441,106,105,546,19,13,3,67,50,140,104,47,3,12,17,190,323,9,15,29,18, 
"Crawford, Shane",HW,22,307,89,226,533,19,16,11,87,55,118,85,74,24,26,17,202,313,10,10,46,40, 
"Francou, Josh",PA,25,259,42,269,528,13,13,2,100,19,102,168,69,18,30,21,234,307,1,8,40,8, 
"Johnson, Jason",ES,24,324,95,196,520,14,15, ,86,43,100,112,54,22,19,9,210,306,8,7,22,40, 
"Campbell, Wayne",RI,22,297,91,216,513,12,7,11,69,46,68,106,33,35,12,8,184,325,13,15,50,12, 
"McLeod, Andrew",AD,23,322,76,190,512,25,22,3,74,25,129,98,41,15,18,16,199,303,4,12,31,35, 
"Bowden, Joel",RI,22,334,125,171,505,18,17,16,63,59,104,70,57,10,14,5,159,326,14,22,51,32, 
"Thompson, Andrew",SK,22,300,82,201,501,10,7,4,88,46,94,99,33,16,13,3,174,325,6,8,42,12, 
"Cresswell, Daryn",SY,22,277,81,223,500,17,15,3,48,39,84,98,46,15,13,2,141,355,5,15,19,9, 
"Scott, Brad",BL,25,315,136,179,494,8,10,1,55,44,86,45,49,17,20, ,131,362,2,7,62,23, 
"Johnson, Brad",WB,22,334,137,154,488,44,28,2,47,44,91,62,41,15,8,4,161,317,17,40,27,31, 
"Edwards, Tyson",AD,25,335,109,153,488,16,7, ,57,78,78,53,53,15,21,10,175,324,10,9,44,41, 
"Hasleby, Paul",FR,22,261,97,226,487,18,15,2,54,19,92,102,48,18,13,7,213,279,19,19,33,9, 
"Stevens, Nick",PA,23,322,86,164,486,17,12,11,48,42,121,72,54,17,17,6,147,325,5,9,40,44, 
"Buckley, Nathan",CW,21,351,79,133,484,15,19,15,98,35,112,94,64,30,26,14,208,281,12,14,45,21, 
"Goodwin, Simon",AD,22,271,61,205,476,17,16,5,63,37,95,100,42,15,13,7,206,275,5,7,30,14, 
"West, Scott",WB,18,222,61,249,471,8,8, ,57,39,76,96,36,27,6,8,198,272,3,5,21,8, 
"Voss, Michael",BL,22,283,88,184,467,36,21,2,47,16,89,75,40,17,15,17,189,276,22,34,47,19, 
