Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Swan, Dane",CW,25,444,161,325,769,18,25,2,77,57,122,101,69,12,10,12,270,487,16,19,37,39,22
"Ablett, Gary",GE,22,299,93,445,744,27,26, ,92,47,79,107,56,27,24,30,295,455,21,24,29,36,16
"Boyd, Matthew",WB,25,328,120,394,722,15,5,14,90,44,92,142,63,18,13,14,280,445,3,6,41,20,13
"Selwood, Joel",GE,25,301,111,386,687,11,10,5,118,34,84,97,66,59,36,16,262,438,8,7,44,14,14
"Dal Santo, Nick",SK,24,387,89,283,670,16,5,22,97,69,108,111,64,32,9,17,236,416,3,8,38,63,18
"Montagna, Leigh",SK,24,399,123,271,670,8,19, ,150,61,122,84,76,26,29,13,213,451,2,9,44,43,20
"Corey, Joel",GE,23,306,106,356,662,7,4,34,115,47,96,103,80,42,29,7,246,424,11,6,41,13,11
"Vince, Bernie",AD,24,336,142,323,659,14,10,5,66,49,83,90,59,25,18,13,188,471,6,7,30,29,14
"Mitchell, Sam",HW,22,346,111,308,654,7,3,1,66,65,91,110,60,30,26,13,200,456,4,4,28,4,14
"Goddard, Brendon",SK,24,359,150,293,652,15,9,20,77,66,88,61,55,17,20,14,186,442,14,14,48,32,19
"Bartel, Jimmy",GE,24,347,152,300,647,12,15,20,128,54,85,73,71,29,35,13,202,446,13,7,63,4,17
"Enright, Corey",GE,25,343,142,285,628,4,2,1,71,78,66,30,46,12,21, ,138,468,18,1,63,4,12
"Cooney, Adam",WB,23,277,81,340,617,14,15,1,58,54,74,110,55,19,14,3,236,379,2,10,22,19,10
"Hayes, Lenny",SK,22,310,95,306,616,5,6,49,139,44,93,123,52,28,24,20,227,387,2,2,28,31,16
"Gibbs, Bryce",CA,23,321,141,294,615,15,8,2,92,49,108,83,58,21,18,15,191,419,6,10,31,22,17
"Power, Luke",BL,24,307,94,308,615,6,6, ,121,53,90,81,68,22,19,9,194,419,4,4,37,28,19
"Judd, Chris",CA,23,319,54,290,609,12,19, ,102,31,137,125,64,34,21,22,272,336,8,8,26,14,26
"Thompson, Scott",AD,23,253,114,352,605,11,10,2,99,30,83,98,69,32,25,11,215,397,8,14,25,8,13
"Cornes, Kane",PA,22,286,106,310,596,7,4,1,76,47,54,51,63,23,25,4,148,441,1,5,24,10,13
"Murphy, Marc",CA,23,286,107,302,588,31,17, ,89,39,102,86,41,36,14,15,215,372,2,8,29,40,19
"Black, Simon",BL,23,256,65,328,584,10,7,3,112,35,76,111,77,28,27,19,245,350,1,7,32,11,19
"Cross, Daniel",WB,23,162,128,419,581,5,2,42,100,26,34,83,39,36,19,8,219,367,13,10,46,2,9
"Gram, Jason",SK,24,353,118,221,574,12,23,2,61,56,136,41,67,16,14,2,137,434,7,8,43,44,12
