Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Black, Simon",BL,25,308,79,314,622,23,17,1,119,28,120,157,42,17,27,12,283,342,4,13,40,21, 
"Lappin, Nigel",BL,25,383,157,232,615,26,19,2,50,72,115,87,40,14,12,4,197,425,14,18,46,40, 
"Campbell, Wayne",RI,25,346,114,261,607,16,8,3,71,49,101,151,20,43,34,4,227,380,11,14,33,22, 
"Voss, Michael",BL,25,363,98,240,603,21,19, ,67,41,148,125,32,24,16,19,257,351,19,16,26,21, 
"Cousins, Ben",WC,22,335,63,265,600,15,7, ,34,46,96,131,35,31,14,18,236,373,4,4,29,9, 
"Bowden, Joel",RI,25,381,149,210,591,26,22,15,51,88,104,74,57,12,32,9,197,378,13,27,30,66, 
"West, Scott",WB,22,283,72,298,581,11,4, ,59,28,75,143,44,35,13,8,273,293,6,8,27,10, 
"Ratten, Brett",CA,22,300,83,273,573,21,11,2,103,27,89,146,29,23,14,8,263,306,7,15,57,7, 
"McLeod, Andrew",AD,23,408,71,160,568,29,27,10,63,37,140,128,32,18,23,21,218,333,7,12,29,24, 
"Stevens, Nick",PA,24,381,112,165,546,19,18,4,44,50,133,79,45,16,13,11,153,408,10,13,25,16, 
"Francou, Josh",PA,22,308,67,224,532,7,7, ,81,26,73,147,34,25,29,19,223,308, ,7,39,1, 
"Bell, Peter",FR,19,313,83,214,527,14,10, ,52,41,73,97,37,28,15,11,177,347,4,7,23,18, 
"Johnson, Jason",ES,24,364,85,162,526,21,19,1,64,34,139,123,38,25,43,16,225,302,4,11,32,29, 
"Buckley, Nathan",CW,20,368,101,158,526,14,21,15,58,35,120,119,35,19,23,14,215,302,16,16,35,26, 
"Bradley, Craig",CA,23,344,94,177,521,14,7, ,24,42,121,75,40,22,9,10,154,347,4,7,44,47, 
"Goodwin, Simon",AD,23,370,73,149,519,16,11,3,90,33,138,145,24,20,12,10,236,288,14,15,29,2, 
"Akermanis, Jason",BL,24,332,103,178,510,28,20, ,60,30,140,105,26,25,24,23,210,301,5,13,35,28, 
"Harvey, Brent",KA,20,338,75,172,510,17,19, ,29,63,70,81,23,23,21,16,179,295,3,8,34,100, 
"Koutoufides, Anthony",CA,22,271,126,238,509,32,20,24,62,27,76,106,32,20,21,8,276,224,35,27,26,4, 
"Licuria, Paul",CW,22,259,109,239,498,5,2,1,46,71,51,71,31,21,34, ,170,327,6,4,17,42, 
"Black, Heath",FR,21,314,97,182,496,7,8, ,35,70,68,62,24,22,26,5,149,320,3,5,12,39, 
"Camporeale, Scott",CA,21,392,68,102,494,20,12,1,44,53,113,78,40,22,32,5,150,350,3,9,44,28, 
"Yze, Adem",ME,22,417,105,72,489,24,26,2,37,71,105,67,45,22,23,8,161,281,19,23,19,19, 
"Cameron, Leon",RI,25,344,111,139,483,19,6,1,33,95,82,30,31,12,2,11,107,349,8,10,24,29, 
"Edwards, Tyson",AD,23,322,102,159,481,12,16, ,62,58,75,91,28,17,20,1,184,306,6,10,31,19, 
"Fletcher, Adrian",FR,21,230,97,250,480,3,5,3,54,11,77,69,19,25,15,3,188,295,10,1,16,7, 
"Grant, Shannon",KA,20,315,101,164,479,26,21, ,46,43,70,92,29,24,18,14,208,272,7,21,39,14, 
"Lekkas, Angelo",HW,24,285,126,187,472,18,17,2,82,47,89,50,26,22,24,4,170,297,4,19,29,15, 
"OBree, Shane",CW,22,279,70,188,467,4,4,1,43,23,98,100,39,18,21,12,190,280,8,6,13,19, 
"Brown, Nathan",WB,22,318,117,147,465,32,29, ,30,43,89,63,44,12,26,7,147,306,10,24,17,41, 
"Knights, Matthew",RI,25,234,75,230,464,12,9, ,65,27,69,89,37,28,26,7,177,308,5,13,16,17, 
"Hickmott, Adrian",CA,23,278,146,183,461,22,16,4,82,21,89,36,36,35,27,10,195,259,21,24,40,6, 
"Chaffey, Mark",RI,25,314,134,147,461,6,3, ,39,63,64,29,29,7,19,6,133,330,13,12,31,20, 
"Schofield, Jarrad",PA,24,312,92,145,457,16,15, ,32,39,97,70,28,13,11,8,164,294, ,6,25,14, 
"Simpson, Adam",KA,21,309,88,146,455,3, ,21,60,40,81,105,27,25,14,2,194,262,15,4,55,5, 
"Cook, Troy",FR,22,274,75,179,453,14,13, ,66,26,93,64,39,28,15,8,185,267,8,10,29,19, 
"Ricciuto, Mark",AD,23,265,93,186,451,27,20,6,48,24,95,71,19,15,22,7,156,301,14,19,34,5, 
"Schwass, Wayne",SY,22,295,79,152,447,12,8,2,54,69,55,76,34,21,24,7,153,258,6,11,37,31, 
"Crawford, Shane",HW,21,247,89,195,442,20,8,11,67,42,71,64,42,28,25,14,170,269,4,15,29,30, 
"Thompson, Andrew",SK,21,233,63,209,442,5,4,3,66,31,82,94,34,14,12,4,160,294,6,5,39,4, 
"James, Roger",PA,24,241,122,200,441,19,9, ,35,27,67,89,16,18,11, ,163,278,7,13,20,11, 
