Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"West, Scott",WB,22,267,91,370,637,4,7, ,61,33,89,103,60,39,19,17,249,378,3,1,28,10,16
"Cousins, Ben",WC,24,391,146,221,612,24,11, ,33,42,149,98,59,17,14,20,238,379,10,10,52,80,20
"Cornes, Kane",PA,24,338,135,252,590,18,10,3,58,49,71,69,60,23,20,7,161,427,3,15,33,17,8
"Fletcher, Chad",WC,25,355,133,234,589,17,13, ,46,44,99,92,88,14,27,5,204,391,7,11,22,45,16
"Hodge, Luke",HW,21,347,112,234,581,9,15,13,59,122,93,113,83,28,26,15,221,334,16,4,69,22,14
"Kirk, Brett",SY,26,299,68,271,570,6,6,1,136,39,72,137,63,47,34,10,299,274,3,2,34,5,11
"Ling, Cameron",GE,23,307,139,260,567,11,9, ,50,31,68,75,48,17,14,13,187,382,13,8,35,7,13
"Hayes, Lenny",SK,24,305,111,262,567,10,15,6,116,46,109,90,53,22,21,9,195,376,3,13,55,19,20
"Cross, Daniel",WB,22,179,127,384,563,2,5,39,94,27,59,100,55,30,22,6,214,354,6,11,50,4,13
"Edwards, Tyson",AD,25,317,106,237,554,17,3, ,73,46,71,74,58,13,22,16,194,362,4,13,41,22,17
"Goodwin, Simon",AD,24,313,107,233,546,20,12,2,64,41,115,74,41,21,15,9,180,358,12,8,39,11,11
"Dal Santo, Nick",SK,24,341,110,202,543,15,14,16,77,60,86,85,47,34,14,18,233,310,10,9,55,46,14
"Judd, Chris",WC,24,336,77,200,536,15,24, ,79,43,113,126,52,19,19,15,271,258,9,11,33,62,15
"Ricciuto, Mark",AD,24,292,104,240,532,21,16, ,52,36,128,84,61,19,24,11,178,356,3,17,18,2,14
"Ball, Luke",SK,24,335,94,193,528,12,10,2,126,47,111,115,60,39,12,9,236,300,10,8,46,29,14
"Licuria, Paul",CW,22,284,135,238,522,12,11, ,65,31,79,69,69,28,24,3,204,302,6,10,13,14,8
"Tuck, Shane",RI,22,323,106,195,518,10,14,38,71,39,93,114,55,21,18,8,237,286,10,8,37,4,5
"Harvey, Brent",KA,23,325,108,188,513,23,17, ,49,41,92,62,53,24,16,11,151,339,2,11,50,50,21
"Bowden, Joel",RI,22,324,131,188,512,7,5, ,38,137,50,14,54,26,12, ,136,360,10,6,57,67,8
"Crawford, Shane",HW,21,295,133,207,502,11,5,6,83,56,74,58,65,16,21,7,123,371,3,12,42,29,11
"Corey, Joel",GE,21,292,120,205,497,5,11,16,81,32,71,68,56,27,18,11,183,312,5,10,32,7,8
"Braun, Michael",WC,24,274,127,222,496,7,5, ,48,27,101,35,35,21,6,3,139,361,1,5,53,18,10
"Johnson, Jason",ES,22,308,120,183,491,12,11,2,80,44,103,97,61,23,13,4,220,271,5,14,17,8,10
"Coughlan, Mark",RI,22,250,110,235,485,8,9,1,99,32,83,88,45,22,19,10,194,298,5,9,26,10,10
"Holland, Brodie",CW,22,278,103,206,484,14,6,1,65,34,76,61,42,26,13,3,174,303,3,8,27,19,10
"Stevens, Nick",CA,22,284,64,196,480,13,17, ,54,72,94,97,45,20,16,11,200,261,4,5,25,18,14
"Black, Heath",FR,22,329,112,151,480,13,7, ,44,88,87,42,58,13,27,8,106,366, ,5,20,38,9
"Bartel, Jimmy",GE,24,274,131,196,470,18,5, ,94,49,81,56,68,16,36,9,162,304,20,10,45,5,7
"Johnson, Brad",WB,22,329,149,139,468,42,23,9,42,33,76,35,66,14,17,6,145,318,17,48,20,69,19
"Kerr, Daniel",WC,22,264,81,196,460,8,12,3,59,30,74,101,54,34,20,19,227,242,8,5,36,34,13
"McLeod, Andrew",AD,25,301,73,155,456,13,13, ,51,79,93,33,38,9,11,11,125,313,3,3,40,91,16
"Camporeale, Scott",CA,21,330,63,126,456,8,4, ,37,93,91,34,55,15,19, ,122,312,1,2,32,39,14
"Gilbee, Lindsay",WB,22,329,108,126,455,21,5,1,38,130,83,18,41,22,8,6,105,308,5,1,58,51,13
"Milburn, Darren",GE,23,284,146,171,455,15,8,31,76,61,79,58,43,27,19,4,167,281,24,13,94,38,5
"Hasleby, Paul",FR,22,225,96,228,453,15,7,3,72,30,70,93,47,22,21,12,192,250,12,15,49,17,8
"Bolton, Jude",SY,24,270,80,182,452,3,5,10,122,21,117,116,63,34,32,13,229,226,7,4,68,13,11
"Goodes, Adam",SY,26,319,145,130,449,23,14,116,60,41,94,68,61,17,29,7,182,252,21,22,43,10,19
"Power, Luke",BL,20,314,88,131,445,12,9, ,65,43,80,55,54,18,11,14,170,272,4,3,23,35,14
"Johnstone, Travis",ME,22,363,85,81,444,15,10, ,59,87,109,60,59,13,19,11,161,265,2,5,41,64,13
"Carr, Josh",FR,22,269,81,175,444,12,7,4,86,47,58,85,77,25,27,8,175,257,1,5,27,42,9
"Voss, Michael",BL,21,241,92,201,442,12,4,1,49,28,71,64,68,13,23,6,154,287,2,10,20,7,8
"Akermanis, Jason",BL,21,295,71,146,441,25,22,1,90,34,128,84,59,27,21,11,168,280,4,9,35,39,14
"Ablett, Gary",GE,24,257,65,178,435,29,26, ,86,21,101,54,45,23,22,3,208,223,8,14,33,15,17
"Cooney, Adam",WB,22,236,93,198,434,21,13,1,56,41,78,91,45,17,17,12,171,260,4,13,29,64,18
"Thompson, Scott",AD,24,267,107,166,433,27,17,6,96,20,97,72,78,24,35,9,176,252,10,22,28,11,9
"Kelly, James",GE,24,254,95,178,432,13,7,2,83,21,87,71,49,25,21,3,190,253,8,15,44,12,9
"Grant, Shannon",KA,23,296,122,135,431,39,24, ,29,21,99,53,59,35,20,11,173,255,19,42,25,13,22
"Buchanan, Amon",SY,26,231,83,199,430,14,18, ,80,39,91,67,60,26,30,3,192,244,3,15,38,25,19
"Dew, Stuart",PA,24,291,91,138,429,19,14,2,58,87,126,48,46,18,18,6,138,280,4,5,30,10,17
"Lockyer, Tarkyn",CW,22,294,116,135,429,10,9, ,50,85,43,29,47,22,10, ,128,292,1,10,49,20,4
"Koutoufides, Anthony",CA,22,223,75,205,428,13,11,9,62,28,71,124,38,21,14,5,243,178,10,7,38,14,9
"Bell, Peter",FR,18,251,91,171,422,12,8,1,69,47,55,61,25,24,8,8,141,285,3,11,30,29,13
"Cornes, Chad",PA,19,310,165,109,419,8,7,23,42,100,31,27,67,12,24, ,133,279,30,12,76,6,1
"Simpson, Adam",KA,21,230,84,183,413,3,1,28,63,17,63,92,44,21,12,7,180,228,12,3,42,16,7
"Johnson, Kane",RI,18,245,86,167,412,5,4, ,44,56,72,67,37,19,11,7,124,291, ,2,29,13,7
"Eagleton, Nathan",WB,22,251,119,159,410,28,17,5,34,18,103,40,46,15,9,10,100,305,3,16,17,57,20
"Sinclair, Jess",KA,20,288,129,122,410,2,3, ,47,76,42,29,38,24,13,6,114,302,6,2,37,44,5
"Cox, Dean",WC,25,257,163,152,409,22,3,595,29,54,58,74,52,48,23,6,141,273,12,9,59,15,15
"Wirrpanda, David",WC,20,297,93,111,408,2,2, ,34,137,25,13,44,11,14,8,137,266,14, ,40,30,3
"Campbell, Wayne",RI,22,201,114,206,407,13,6,2,32,23,75,45,43,23,20,2,124,286,2,11,29,9,14
"Brown, Nathan",ME,22,288,141,115,403,4,5, ,26,80,39,16,41,14,9,5,109,297,4,4,32,47,5
"Peverill, Damien",ES,21,218,89,185,403,4,5,5,50,35,55,62,41,16,10,2,153,247,3,6,40,12,6
"Johnson, Mark",ES,22,265,106,133,398,29,12,10,84,32,75,66,56,33,25,4,203,197,17,22,64,22,17
"Burton, Brett",AD,20,280,105,118,398,14,11,10,44,31,89,48,65,19,25,4,156,237,11,12,45,34,10
"Black, Simon",BL,18,213,50,183,396,10,8,1,48,24,71,86,48,15,13,6,179,218,1,4,21,20,16
"Kennelly, Tadhg",SY,26,250,99,146,396,2,5,4,50,114,44,17,51,18,27,8,109,263,5,3,85,42,8
"Tredrea, Warren",PA,24,307,220,88,395,65,45,4,33,8,91,5,48,29,21,11,163,235,41,93,33,4,18
"OBree, Shane",CW,21,231,74,164,395,10,7, ,80,31,70,65,52,19,25,3,149,243,1,3,36,28,10
