Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Lewis, Jordan",HW,24,338,136,330,668,17,9,81,92,39,89,136,58,21,15,15,256,408,5,16,38,4,14
"Kennedy, Josh",SY,23,272,75,385,657,13,20,3,132,17,99,148,76,24,22,21,371,280,6,11,29,2,12
"Parker, Luke",SY,25,286,104,362,648,25,14,17,151,39,81,124,87,26,42,12,318,332,22,26,52,3,15
"Boak, Travis",PA,24,266,88,378,644,19,6,1,92,22,116,133,57,26,19,21,301,351,6,14,37,14,15
"Priddis, Matt",WC,22,261,56,366,627,10,8,2,161,44,70,147,54,35,20,26,330,297,1,4,25,3,7
"Heppell, Dyson",ES,22,332,116,294,626,6,6,13,99,39,70,116,58,25,15,14,266,362,7,7,43,9,11
"Gray, Robbie",PA,25,302,97,320,622,42,33,1,69,26,81,145,59,42,25,14,298,321,12,40,42,12,33
"Dal Santo, Nick",NM,25,323,80,295,618,9,12,25,74,78,73,89,38,21,7,8,244,366, ,3,66,28,12
"Gibson, Sam",NM,25,345,163,270,615,8,6,1,87,72,70,52,52,18,15,6,147,476,4,5,30,7,7
"Selwood, Joel",GE,24,311,109,303,614,24,16,5,144,40,100,153,60,68,30,21,310,324,12,21,58,12,20
"Jones, Nathan",ME,22,311,64,299,610,7,6, ,115,39,79,137,49,48,19,13,255,355,1,3,21,11,10
"Wines, Ollie",PA,25,251,71,358,609,14,13,62,124,25,87,120,73,28,21,5,294,308,7,12,31,6,16
"Cornes, Kane",PA,25,328,132,279,607,1,5, ,111,39,54,51,53,15,19,5,156,448, ,3,25,12,7
"Ellis, Brandon",RI,23,355,126,246,601,10,11, ,56,94,64,41,62,14,20,9,152,421,5,10,29,26,8
"Cotchin, Trent",RI,23,360,80,237,597,18,11,4,95,49,72,123,81,40,22,18,264,320,2,11,33,5,13
"Pendlebury, Scott",CW,21,292,75,304,596,13,10,8,116,51,72,112,51,38,10,16,273,314,10,7,36,20,14
"Prestia, Dion",GC,22,309,83,287,596,10,8, ,102,43,87,118,61,24,14,13,248,338,4,4,44,16,14
"Birchall, Grant",HW,25,344,124,247,591,5,6, ,33,65,66,22,33,16,10,4,133,425,4,2,43,13,9
"Rockliff, Tom",BL,18,309,96,280,589,10,3,14,163,64,53,115,68,18,32,15,245,327,5,4,25,6,3
"Mundy, David",FR,24,342,87,246,588,11,12,21,109,42,97,135,57,17,14,13,280,315,1,9,33,6,11
"McVeigh, Jarrad",SY,25,327,105,255,582,15,9, ,110,42,87,57,44,9,11,5,185,393,3,13,70,8,24
"Malceski, Nick",SY,25,427,98,149,576,8,7, ,72,128,91,26,53,13,11,4,134,411,7,2,72,35,13
"Jack, Kieren",SY,24,323,82,249,572,18,13, ,131,34,103,96,54,31,11,5,250,307,5,12,40,1,24
"Macrae, Jack",WB,21,302,119,260,562,9,5, ,86,39,74,46,47,36,10,10,165,392,4,5,21,19,10
"Martin, Dustin",RI,22,385,108,175,560,27,15, ,56,41,84,58,93,16,33,13,178,380,7,15,26,19,18
"Zaharakis, David",ES,23,332,108,228,560,14,14, ,85,34,103,75,54,12,13,8,165,388,4,14,12,10,15
"Harvey, Brent",NM,22,310,106,249,559,29,20,1,66,25,96,38,47,20,17,15,147,396,4,13,26,63,18
"Ebert, Brad",PA,25,326,121,229,555,13,10,35,149,40,101,86,77,18,31,7,203,352,7,12,31,14,15
"Cunnington, Ben",NM,25,284,87,268,552,13,7,1,140,37,77,146,72,9,31,13,289,267,12,12,40,2,12
"Treloar, Adam",GW,20,251,72,301,552,13,11,2,111,40,83,118,64,20,19,5,250,300,1,5,14,36,6
"Hodge, Luke",HW,22,370,130,181,551,12,9,35,79,47,84,82,73,24,26,12,158,376,11,10,76,5,17
"Greenwood, Levi",NM,22,322,119,228,550,16,18,4,97,31,92,89,74,22,26,1,228,318,6,13,24,17,6
"Burgoyne, Shaun",HW,25,284,95,266,550,12,6,4,95,49,83,80,38,9,13,3,208,325,4,4,49,20,19
"Dangerfield, Patrick",AD,22,276,74,272,548,17,22,28,78,33,104,136,66,34,19,21,341,210,25,16,35,18,10
