Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Mitchell, Sam",HW,24,374,98,374,748,6,3,2,92,56,94,130,89,38,31,26,267,488,1,6,48,10,15
"Gaff, Andrew",WC,25,415,111,323,738,11,8, ,62,51,108,70,55,13,4,17,190,537,3,5,26,29,8
"Kennedy, Josh",SY,24,308,74,423,731,15,23,5,149,32,107,180,93,26,32,25,393,339,5,14,30,3,11
"Hannebery, Dan",SY,24,312,99,408,720,15,7,1,123,39,112,107,57,25,19,24,272,442,8,9,11,6,9
"Priddis, Matt",WC,24,239,44,472,711,7,5, ,176,26,84,183,75,28,41,28,357,371,1,2,26,5,23
"Lewis, Jordan",HW,23,357,149,308,665,9,3,55,72,48,104,106,78,24,23,8,219,440,1,13,32,1,20
"Neale, Lachie",FR,24,320,114,338,658,16,10, ,86,46,66,142,49,28,21,10,278,386,3,9,12,4,8
"Pendlebury, Scott",CW,22,321,97,314,635,15,8,9,112,37,91,101,44,30,8,15,242,390,5,19,30,4,21
"Mundy, David",FR,23,301,94,317,618,10,4,47,119,38,86,162,49,31,21,19,302,319,4,6,26,5,13
"Dangerfield, Patrick",AD,23,322,84,295,617,21,14,32,126,23,114,165,77,36,24,22,350,270,29,14,39,8,15
"Swan, Dane",CW,21,336,104,273,609,21,14, ,81,24,97,118,63,18,12,17,241,347,9,13,27,6,16
"Martin, Dustin",RI,23,400,103,197,597,24,13,1,89,53,100,73,91,16,31,21,204,399,11,10,20,9,11
"Armitage, David",SK,21,282,83,315,597,11,12,7,125,37,78,133,78,39,34,12,261,343,6,8,12,18,7
"Ellis, Brandon",RI,23,342,146,252,594,8,11, ,77,51,74,49,67,15,19,7,157,431,7,6,17,24,6
"Shuey, Luke",WC,25,273,82,320,593,24,12,5,123,18,104,152,71,37,31,7,262,336,3,5,27,13,23
"Steven, Jack",SK,22,343,98,248,591,9,15, ,151,36,120,95,79,28,21,12,195,397,1,6,16,20,17
"Dahlhaus, Luke",WB,23,276,77,314,590,17,10, ,120,36,85,86,60,21,22,7,266,326,5,17,16,8,20
"Smith, Isaac",HW,25,350,163,231,581,23,12,17,70,49,108,40,57,7,13,3,136,432,3,16,22,25,14
"Goddard, Brendon",ES,22,278,131,303,581,10,7,19,78,52,68,72,61,16,17,2,187,385,6,7,23,8,10
"Treloar, Adam",GW,21,264,80,313,577,14,11,11,112,45,69,90,56,20,16,7,210,361,3,6,5,27,19
"Stanton, Brent",ES,22,380,137,197,577,9,6,2,94,65,86,54,59,18,17,6,145,423,4,9,23,9,6
"Fyfe, Nat",FR,20,275,84,301,576,17,14,42,86,24,87,173,75,23,43,31,356,227,33,20,31,7,14
"Harvey, Brent",NM,25,304,74,266,570,24,15, ,53,32,81,55,49,23,12,4,175,383,1,8,15,47,14
"Heppell, Dyson",ES,22,304,87,262,566,13,8,47,105,32,71,111,45,26,12,10,249,320,5,6,31,4,5
"Hodge, Luke",HW,21,366,130,196,562,21,8,27,93,48,82,78,72,32,27,13,173,377,11,12,53,3,17
"Boak, Travis",PA,22,252,70,310,562,13,14,8,120,22,89,114,78,27,26,16,254,308,5,6,24,9,19
"Laird, Rory",AD,23,289,133,273,562,2,4, ,58,79,43,19,55,21,15,2,179,379,14,2,38,5,2
"Thompson, Scott",AD,21,248,69,313,561,8,4,1,127,25,81,151,85,31,41,12,292,285,2,2,24, ,8
"Ward, Callan",GW,22,253,103,303,556,10,7,48,115,31,87,135,57,31,24,19,251,314,10,9,15,16,13
"Macrae, Jack",WB,21,287,97,267,554,5,6,8,117,29,88,95,65,25,14,11,218,343,4,3,22,12,15
"Gray, Robbie",PA,21,252,60,300,552,25,12,1,91,21,92,161,73,33,21,13,297,271,4,19,31,7,26
"Hill, Stephen",FR,23,362,88,190,552,17,10, ,67,56,104,74,64,10,14,6,184,368,4,12,23,26,13
"Barlow, Michael",FR,24,253,116,297,550,16,9,8,103,20,55,53,45,20,13,5,218,331,7,15,13,3,17
"Cunnington, Ben",NM,24,236,72,312,548,12,4,8,107,36,58,175,79,18,27,3,341,217,15,13,29,1,9
"Masten, Chris",WC,22,252,86,296,548,2,11, ,48,39,59,42,40,13,12,5,171,376, ,2,7,4,13
"Gibson, Josh",HW,25,303,207,244,547, ,3, ,38,65,43,8,35,20,14,1,114,436,18, ,169,3,5
"Miles, Anthony",RI,23,277,92,267,544,7,6, ,90,41,81,135,61,61,34,9,266,288,2,4,13,4,11
"Cotchin, Trent",RI,22,313,71,227,540,12,13,3,74,34,76,110,72,52,29,17,271,258,5,10,22,7,12
"McVeigh, Jarrad",SY,22,290,121,243,533,12,5, ,99,49,81,49,44,14,12,3,131,383,5,8,24,5,11
"Jones, Nathan",ME,22,268,53,255,523,12,7, ,95,21,97,104,58,27,24,10,217,310, ,5,13,1,9
"Vince, Bernie",ME,21,307,57,212,519,11,6,16,101,40,82,112,64,20,29,14,214,303,1,4,15,11,5
"Shaw, Heath",GW,22,420,145,97,517,1,2, ,61,163,37,9,60,17,15, ,129,310,19,1,69,92,3
"Boyd, Matthew",WB,19,321,148,195,516,1,6,3,40,84,45,29,47,15,10,8,133,356,6, ,30,20,2
"Mitchell, Tom",SY,19,211,70,303,514,10,7, ,123,17,53,77,52,18,14,12,193,326, ,7,8,1,15
"Ebert, Brad",PA,22,286,132,226,512,10,11,28,122,48,79,67,71,19,23,10,186,324,11,9,17,6,13
"Houli, Bachar",RI,23,323,126,188,511,5,2, ,59,113,62,15,47,15,8,2,113,344,11,5,39,39,6
"Murphy, Marc",CA,19,291,79,219,510,7,6,1,65,41,76,81,53,50,13,12,218,306,2,8,20,9,7
"Jack, Kieren",SY,22,243,87,265,508,11,7, ,132,22,92,89,67,25,23,3,217,288, ,7,25,6,21
"Zorko, Dayne",BL,22,300,98,205,505,18,11, ,85,48,69,73,71,29,35,5,207,303,3,10,23,25,12
"Burgoyne, Shaun",HW,26,244,92,260,504,9,7, ,102,47,54,74,50,13,15,2,194,303,8,8,49,25,7
"Greene, Toby",GW,22,239,107,263,502,15,12,3,69,29,79,67,76,22,28,3,180,326,8,17,14,6,16
"Birchall, Grant",HW,22,319,122,183,502,4,3, ,36,45,61,22,40,9,15, ,93,386,3,2,42,19,9
"Gibson, Sam",NM,25,251,94,250,501,11,8, ,47,42,61,43,48,12,12, ,149,350,3,10,19,6,9
"Picken, Liam",WB,21,248,94,249,497,13,9,2,135,37,75,76,49,25,14,4,199,296,6,8,20,3,7
"Adams, Taylor",CW,18,254,79,240,494,7,6, ,90,22,64,98,66,13,26,8,211,279,3,9,13,2,16
"Selwood, Joel",GE,20,237,61,254,491,14,8,13,124,27,82,139,74,64,37,13,263,228,8,5,33,2,12
"Cross, Daniel",ME,22,216,116,275,491, ,1,25,76,49,29,51,43,25,17, ,198,300,20,1,60,3,3
"Kolodjashnij, Kade",GC,22,320,124,170,490,5,1, ,42,99,38,17,65,17,15, ,139,325,8,1,69,21,3
"Hartlett, Hamish",PA,22,273,94,216,489,9,10,14,131,40,76,75,46,26,13,3,191,304,8,6,32,11,7
"Grigg, Shaun",RI,23,259,105,229,488,16,10,27,98,20,77,90,43,22,14, ,173,304,2,10,13,3,8
"Parker, Luke",SY,19,219,65,267,486,18,14,23,90,21,51,106,69,32,31,9,244,239,13,17,23,3,7
"Montagna, Leigh",SK,17,277,85,209,486,8,9,3,82,49,90,60,60,12,17,5,156,324,1,7,13,15,6
"Crisp, Jack",CW,22,282,85,202,484,16,10,7,106,33,91,79,59,23,18,4,193,296,5,12,32,2,7
"Enright, Corey",GE,21,301,148,183,484, ,1, ,60,88,42,18,51,9,16,4,127,341,6,1,65,2,3
"Suckling, Matt",HW,25,323,143,160,483,15,15, ,43,35,87,20,55,10,13, ,102,377,4,6,33,19,10
"Swallow, Andrew",NM,22,219,43,260,479,4,3, ,164,30,60,130,62,52,32,8,262,221, ,3,19,3,9
