Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"West, Scott",WB,24,285,119,423,708,6,5,1,77,54,63,129,66,52,18,23,299,408,3,8,47,11,15
"Goodwin, Simon",AD,24,369,101,270,639,12,12,6,83,53,141,124,58,28,23,10,250,387,9,8,25,25,23
"Cross, Daniel",WB,24,262,146,363,625,9,6,15,108,42,59,85,62,42,30,8,238,393,7,9,30,12,15
"Scotland, Heath",CA,22,373,155,225,598,5,2, ,63,89,75,61,66,13,14,10,167,435,9,1,39,44,4
"Cornes, Kane",PA,22,344,145,253,597,7,11, ,73,65,73,72,45,23,10,7,137,448,2,8,22,32,7
"Judd, Chris",WC,23,332,61,263,595,29,20,2,112,34,115,142,51,34,21,21,324,277,13,8,40,62,11
"Mitchell, Sam",HW,22,327,119,265,592,3,6, ,71,69,95,132,63,32,34,13,233,359,7,1,27,34,15
"Power, Luke",BL,22,376,106,185,561,15,7,1,81,68,78,72,66,18,21,9,167,387,4,6,28,42,10
"McDonald, James",ME,24,301,115,254,555,6,7,6,143,32,73,95,49,46,22,4,234,323,5,4,42,28,12
"Cousins, Ben",WC,22,312,107,241,553,20,13, ,39,23,105,92,43,24,7,13,193,362,1,7,39,35,11
"Fletcher, Chad",WC,24,308,116,235,543,5,12, ,59,29,94,65,67,14,19,2,171,365,6,5,20,42,12
"Edwards, Tyson",AD,22,301,116,241,542,15,4,2,79,48,61,80,48,7,18,12,173,368,2,7,38,47,9
"Bell, Peter",FR,23,306,116,236,542,14,12,1,76,45,62,55,41,31,11,7,184,342,5,7,26,21,20
"Bruce, Cameron",ME,24,303,175,234,537,21,19,5,100,46,82,65,69,26,23,10,183,360,14,28,56,24,16
"Johnson, Ben",CW,23,374,141,157,531,10,9, ,64,58,116,33,65,14,14,11,111,418,3,5,36,26,19
"Harvey, Brent",KA,22,335,121,195,530,17,11, ,46,38,74,37,46,20,12,6,131,398,2,9,33,59,8
"Black, Simon",BL,22,257,63,273,530,8,4, ,108,26,79,135,62,26,21,11,256,276,3,4,21,14,18
"Corey, Joel",GE,22,298,107,231,529,8,4,12,64,70,71,73,71,31,22,10,203,331,6,6,59,14,3
"Goodes, Adam",SY,25,381,170,140,521,25,13,51,84,67,115,78,73,18,34,26,198,303,29,27,63,20,8
"Hodge, Luke",HW,22,313,89,199,512,6,9,11,90,103,75,102,71,43,29,4,197,325,3,4,57,25,11
"Black, Heath",FR,24,335,136,176,511,6,7, ,51,94,74,31,72,23,35,3,113,393, ,3,32,42,6
"Dal Santo, Nick",SK,23,322,115,187,509,11,5,5,96,42,74,71,43,28,12,10,198,310,6,6,51,59,9
"Gilbee, Lindsay",WB,24,324,121,183,507,9,9,1,32,121,82,22,38,17,10,1,110,364,3,4,78,106,11
"Selwood, Adam",WC,26,267,147,239,506,8,6,2,72,76,49,33,51,34,24, ,144,360,4,5,61,25,3
"Braun, Michael",WC,25,248,110,256,504,4,8, ,73,18,111,23,44,25,15,3,140,362,2,5,66,7,17
"Ling, Cameron",GE,22,248,131,255,503,10,3, ,61,51,48,60,53,13,14,6,166,331,7,11,24,21,3
"Green, Brad",ME,23,308,159,191,499,11,17,2,60,52,84,33,58,16,16,3,128,358,6,19,32,25,16
"Kirk, Brett",SY,25,285,99,211,496,8,13,4,142,39,46,115,52,25,27,9,217,281,2,9,27,6,8
"Bowden, Joel",RI,21,326,133,169,495,3, ,1,37,190,25,7,59,16,18,8,128,327,15,1,96,72,3
"Enright, Corey",GE,22,327,139,164,491,11,2,5,64,64,77,41,63,9,25,1,132,351,3,6,51,25,8
"OBree, Shane",CW,23,248,98,243,491,9,2, ,84,28,74,107,59,14,20,9,192,289,1,3,34,36,9
"Swan, Dane",CW,21,311,168,176,487,19,12, ,44,48,71,46,34,18,6,11,149,328,10,18,24,31,17
"Sherman, Justin",BL,22,269,130,218,487,17,9, ,50,50,73,37,52,7,13,4,137,353,1,3,21,91,4
"Stanton, Brent",ES,22,332,134,153,485,12,18, ,41,62,103,39,54,10,10,7,112,365,5,13,31,29,9
"Chapman, Paul",GE,22,331,134,153,484,31,19, ,89,29,89,55,50,23,19,14,164,306,9,28,19,32,16
"Bartel, Jimmy",GE,21,297,139,187,484,15,12,4,79,50,74,67,42,19,20,2,172,307,17,17,36,4,5
"Johncock, Graham",AD,24,323,162,161,484,8,5, ,35,129,38,13,51,13,13,9,123,350,10,8,58,48,6
"Kerr, Daniel",WC,21,233,61,249,482,11,16,2,67,34,66,100,73,33,23,22,239,255,7,9,54,79,13
"Carr, Josh",FR,23,252,129,229,481,7,9,5,88,47,52,86,66,32,30,12,189,294,5,7,29,49,5
"Licuria, Paul",CW,21,273,157,207,480,14,5, ,54,28,68,39,54,10,19,9,112,361,2,10,11,42,10
"Watson, Jobe",ES,21,203,114,276,479,6,7,2,69,35,45,102,40,20,8, ,212,271,4,6,19,14,5
"Stenglein, Tyson",WC,26,275,133,203,478,10,2,6,126,49,49,66,42,24,17,2,166,307,10,10,88,20,8
"Boyd, Matthew",WB,24,245,132,233,478,9,5, ,89,40,83,63,52,18,22, ,153,318,7,7,28,52,9
"Goddard, Brendon",SK,22,321,177,156,477,10,9,17,71,88,80,29,53,9,17,6,127,343,13,8,61,36,12
"Yze, Adem",ME,24,356,128,120,476,30,16,2,44,64,73,35,62,21,18,5,138,321,9,24,29,9,11
"Harvey, Robert",SK,23,299,146,177,476,18,13, ,73,36,77,51,43,23,13,12,141,335,1,20,38,5,15
"Doughty, Michael",AD,23,241,137,235,476,8,5,8,69,20,79,47,51,21,17,1,127,342,1,14,57,18,10
"OKeefe, Ryan",SY,25,356,178,119,475,32,22,1,64,25,122,43,56,28,12,5,180,291,20,31,27,8,12
"Fisher, Sam",SK,23,310,158,162,472,2,2, ,30,106,40,9,45,11,14,2,151,317,8,1,106,62,2
"Thompson, Scott",AD,23,280,135,191,471,22,10,5,86,27,77,64,76,25,27,7,166,303,6,13,40,31,7
"Gram, Jason",SK,23,282,123,189,471,10,10,1,35,107,87,26,52,16,9,5,105,350, ,3,62,117,7
"Sinclair, Jess",KA,21,296,135,175,471,3,1,2,53,82,54,29,46,12,17,2,93,377,5,4,29,45,4
"Johnstone, Travis",ME,22,355,116,114,469,10,11, ,77,77,87,57,59,30,14,11,145,310,5,14,45,47,18
"Bolton, Jude",SY,25,308,77,160,468,12,7,1,134,26,96,126,60,36,25,6,233,234,3,5,52,4,9
"Johnson, Brad",WB,24,332,174,135,467,74,42,4,30,24,81,23,63,23,16,19,160,294,31,80,24,73,18
"Stevens, Nick",CA,20,292,94,175,467,8,8, ,58,45,78,72,54,15,11,8,170,293,7,12,30,26,6
"Houlihan, Ryan",CA,22,313,127,154,467,6,5, ,36,46,65,45,50,11,7,1,140,323,1,4,26,17,7
"Buckley, Nathan",CW,21,318,154,148,466,26,15,1,59,36,85,44,45,24,13,5,157,302,9,25,34,30,19
"Voss, Michael",BL,21,232,104,230,462,3,5,3,54,30,57,70,45,14,13,7,167,288,3,5,18,3,8
"Tuck, Shane",RI,22,262,102,199,461,11,8,29,72,58,78,77,61,11,22,4,205,260,6,9,33,12,10
"Ball, Luke",SK,21,249,101,210,459,4,6,8,104,24,65,83,59,35,15,3,194,268,2,8,33,29,5
"Cooney, Adam",WB,24,242,128,216,458,30,19,2,60,38,74,64,53,21,14,4,155,305,9,26,23,48,15
"Burgoyne, Shaun",PA,22,265,87,193,458,20,16,3,115,63,66,109,44,17,18,15,201,246,7,10,58,61,11
"McMahon, Jordan",WB,24,290,123,167,457,6,4, ,56,107,85,28,64,11,22, ,88,356,3,2,34,91,12
"Jones, Rowan",WC,23,178,117,274,452,9,16,11,57,20,45,34,47,21,13,1,157,293,7,14,16,9,13
"Milburn, Darren",GE,22,242,167,209,451,8,4,19,49,54,47,29,55,20,19,1,164,282,23,13,95,53,7
"Shaw, Heath",CW,22,313,160,136,449,9,4,4,54,93,29,22,51,21,16,6,144,302,9,6,94,37,2
"McLeod, Andrew",AD,20,287,93,159,446,6,6, ,51,67,86,25,34,4,9,7,112,326,7,2,41,65,13
"Embley, Andrew",WC,23,313,138,130,443,31,29,3,33,42,91,13,42,20,10,5,115,325,23,25,29,42,6
"Bowden, Patrick",RI,22,300,187,142,442,14,11,3,30,97,39,9,45,14,6,6,95,336,12,14,56,36,6
"Rawlings, Brady",KA,22,241,109,197,438,4,5, ,52,32,53,39,32,13,7, ,107,330,1,11,28,31,8
"Simpson, Adam",KA,19,226,96,210,436,2,2,16,58,24,63,79,36,19,9,3,157,271,8,4,47,6,4
"Buchanan, Amon",SY,24,249,104,183,432,13,8, ,96,35,87,70,67,26,23,3,181,253,1,11,34,26,19
"Pearce, Danyle",PA,22,275,92,157,432,12,10, ,48,22,107,62,55,15,16,13,154,279,2,10,39,53,17
"Salopek, Steven",PA,21,259,119,170,429,12,5,2,38,33,62,37,42,15,19, ,123,310,8,11,45,27,4
"Burns, Scott",CW,20,213,123,216,429,11,5, ,47,41,62,63,41,19,11, ,158,278,1,12,29,11,9
"Harris, Daniel",KA,22,213,89,215,428,5,4,4,109,29,60,119,36,26,13,5,208,220,1,5,39,7,10
"Lockyer, Tarkyn",CW,23,261,138,166,427,13,5, ,53,70,34,19,22,18,7, ,134,291,6,10,58,18,8
"Johnson, Michael",FR,25,270,154,155,425,5,4,14,41,86,39,15,51,18,16,2,136,276,22,8,102,24,6
"Montagna, Leigh",SK,22,270,106,151,421,12,14, ,81,40,110,51,66,8,23,3,121,297,3,5,38,111,16
"Schammer, Byron",FR,24,226,99,195,421,9,6, ,67,49,48,41,64,22,18,2,128,290,2,7,35,20,10
"Simpson, Kade",CA,22,296,147,124,420,11,8,3,53,73,90,29,47,17,9,2,114,299,7,5,48,113,11
"Mundy, David",FR,25,253,141,165,418,1,5,6,44,117,32,18,45,9,17, ,127,289,17, ,78,15,3
"Bateman, Chance",HW,21,270,123,146,416,5,7, ,22,39,64,24,54,25,11,6,93,331,3,4,27,34,6
"Whitnall, Lance",CA,22,284,177,130,414,15,8,23,26,106,40,14,54,21,17,5,138,273,33,27,93,21,10
"Cornes, Chad",PA,19,294,140,118,412,13,14,17,31,58,51,50,59,24,27,4,155,255,27,18,48,9,4
"Wirrpanda, David",WC,24,297,90,115,412,8,7, ,48,110,20,10,48,17,12,1,133,285,6,9,55,21,4
"Griffen, Ryan",WB,24,209,87,202,411,7,9,6,69,61,68,25,51,19,19,5,132,281,10,5,42,89,9
"Johnson, Jason",ES,19,237,111,173,410,12,7,2,47,32,61,74,37,10,5,4,144,255,1,7,16,12,9
"Reilly, Brent",AD,24,284,117,124,408,14,14, ,85,25,89,61,51,15,19, ,133,277,2,14,29,18,12
"Carr, Matthew",FR,25,250,144,158,408,10,17,3,57,30,75,42,56,10,23, ,131,278,8,12,27,16,9
"Wells, Daniel",KA,22,227,81,180,407,11,7,4,53,63,76,51,30,14,5,1,132,274,8,3,60,60,13
"McLean, Brock",ME,18,248,93,154,402,14,4,2,78,30,79,90,44,16,21,9,173,232,2,9,31,41,10
"McManus, Shaun",FR,22,217,108,185,402,8,1,6,51,21,68,63,56,21,18,7,144,251,3,5,31,17,9
"White, Jeff",ME,24,214,135,187,401,11,4,481,54,34,43,68,49,29,21, ,138,262,10,14,43,8,6
"Fraser, Josh",CW,23,240,170,158,398,16,20,341,50,16,68,60,52,34,18,2,155,247,16,28,28,14,15
"Ladson, Rick",HW,22,252,104,146,398,7,10, ,36,57,44,20,37,11,13, ,85,305,4,9,43,25,11
"Bassett, Nathan",AD,22,248,172,149,397,2, ,2,41,76,27,4,33,11,16,3,96,296,22,3,104,27,5
"Raines, Andrew",RI,22,216,100,181,397,1, , ,39,72,32,12,50,14,17,3,94,306,3, ,36,50,1
"Didak, Alan",CW,23,280,136,116,396,41,23, ,46,16,95,20,67,22,20,4,145,251,9,25,34,21,27
"Jones, Corey",KA,22,265,114,131,396,22,20,8,68,30,77,46,46,39,15, ,158,239,7,16,34,25,13
"Lonie, Ryan",CW,22,251,101,145,396,12,9,1,57,49,51,26,32,11,11,1,83,311,2,2,54,58,4
"Pavlich, Matthew",FR,25,306,196,89,395,71,37,11,36,7,97,25,60,25,25,15,169,226,45,72,40,5,16
"Tivendale, Greg",RI,22,277,123,118,395,12,12, ,71,26,102,62,49,15,13,2,144,252,5,7,21,34,6
"Deledio, Brett",RI,21,241,137,154,395,5,12,5,35,49,76,39,41,12,5, ,121,276,7,10,25,91,10
"Lewis, Jordan",HW,20,216,117,177,393,5,2,3,39,34,54,67,47,20,23,2,145,250,10,7,14,2,10
"Hunt, Josh",GE,22,239,96,152,391,4,4, ,49,129,28,19,44,15,15,1,110,273,10,5,74,9,4
"Waters, Beau",WC,23,213,120,177,390,8,8, ,58,40,39,18,64,24,23,1,116,275,9,8,39,13,3
"Welsh, Andrew",ES,20,226,130,163,389,1,3,2,47,77,26,20,34,15,13, ,94,289,6,3,47,22,6
"Clement, James",CW,23,300,146,88,388,2, , ,42,137,36,4,53,16,24,4,108,249,28,1,62,20, 
"Lappin, Matthew",CA,19,253,116,134,387,5,9, ,38,68,41,11,50,15,15, ,105,282,5,9,44,54,6
"Riewoldt, Nick",SK,23,299,214,86,385,60,35,27,23,17,54,12,40,19,6,8,141,242,50,110,32,9,18
"Shirley, Robert",AD,24,156,71,227,383,4,6,6,85,18,46,71,31,17,13, ,152,231, ,4,61,3,5
"Walker, Andrew",CA,22,270,118,112,382,6,6,1,40,71,52,18,62,13,16,3,119,263,12,3,79,47,3
"Pettifer, Kayne",RI,22,317,177,63,380,31,22, ,32,22,114,14,61,22,25,1,110,262,14,37,20,6,12
"Cox, Dean",WC,21,233,141,146,379,14,9,449,27,47,42,59,35,33,14,12,116,261,11,11,32,29,6
"Carrazzo, Andrew",CA,19,209,123,170,379,4,6,1,38,34,60,32,40,11,12, ,104,277,3,7,32,10,9
"Peake, Brett",FR,20,221,122,155,376,10,9,3,41,37,69,22,37,5,12,10,68,305,3,11,17,123,4
"Eagleton, Nathan",WB,21,258,105,116,374,20,10,1,35,33,86,24,52,14,11,1,77,293,3,12,9,70,11
"Sewell, Brad",HW,22,187,110,187,374,2,2, ,45,40,36,39,29,11,14,1,132,242,4,3,47,11,2
"Smith, Rohan",WB,24,241,137,132,373,21,10, ,45,28,81,25,38,10,10, ,87,280,6,19,31,22,9
"Barry, Leo",SY,25,224,173,147,371, ,1,2,39,111,13,12,45,23,30, ,114,255,12, ,103,69,2
"Ray, Farren",WB,21,222,99,148,370,9,12,1,34,34,83,21,37,6,14,2,65,300,5,6,26,104,5
"Hyde, Chris",RI,22,209,137,160,369,13,10, ,48,26,63,34,39,10,16,3,103,268,1,10,18,41,7
"Fosdike, Nic",SY,24,266,91,103,369,7,2, ,82,33,71,62,46,9,17,2,135,234,3,6,23,23,10
"Lucas, Scott",ES,22,310,183,58,368,67,44, ,33,15,98,2,57,23,20,7,129,238,29,76,26,3,4
"Hall, Barry",SY,25,283,216,82,365,78,38,25,49, ,62,7,67,24,35,8,160,206,59,91,27, ,20
"Lynch, Quinten",WC,26,253,143,111,364,65,33,37,27,6,82,13,53,17,19,7,149,215,32,70,26,4,12
"Lovett-Murray, Nathan",ES,19,250,112,111,361,7,10,6,37,64,41,11,41,15,13,1,103,248,13,9,54,30,5
"Schneider, Adam",SY,25,244,78,116,360,22,19, ,74,38,75,47,53,19,21,5,133,215,5,7,36,29,16
"Dodd, Steven",FR,25,196,139,164,360,1,2,8,64,60,30,21,44,25,19, ,114,248,10,2,96,8,6
"Kennelly, Tadhg",SY,22,211,88,149,360,1,2,1,42,75,35,10,40,8,22, ,101,235,2, ,64,38,4
"Thornton, Bret",CA,22,225,142,135,360, , ,2,18,100,11,7,38,9,21, ,103,257,16, ,111,38, 
"Crawford, Shane",HW,15,196,104,163,359,15,7,5,24,22,67,34,37,15,11,5,94,262,5,8,18,10,10
