Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4433,1801,3548,7981,273,215,879,1441,786,1146,810,970,319,61,3062,4849,219,249,1166,297,172
Brisbane Lions,4592,1935,3614,8206,320,239,1027,1538,714,1190,899,992,396,90,3089,5048,208,313,1134,134,226
Carlton,4446,1955,3310,7756,304,228,897,1395,672,1172,820,955,318,73,2898,4796,215,280,1056,258,211
Collingwood,4669,2096,3700,8369,270,197,857,1456,763,1113,844,967,356,72,3021,5268,212,247,1090,161,181
Essendon,4722,2137,3483,8205,264,169,975,1391,866,1090,829,942,367,64,3033,5149,189,224,1158,274,183
Fremantle,4871,2134,3918,8789,245,225,723,1689,761,1082,874,1014,419,45,3249,5493,204,221,1266,200,163
Geelong,4785,1970,3704,8489,284,222,922,1515,852,1146,920,1064,398,47,3315,5095,195,252,1310,234,185
Gold Coast,4760,1886,3343,8103,296,199,1091,1390,738,1213,899,966,386,75,3263,4721,207,235,1179,228,213
Greater Western Sydney,4646,2032,3492,8138,344,204,861,1279,685,1229,845,967,401,86,3103,5010,221,293,984,222,229
Hawthorn,4904,2000,3961,8865,288,186,1020,1644,860,1172,985,1109,394,42,3473,5318,296,275,1223,141,200
Melbourne,4676,2087,3233,7909,278,220,894,1599,653,1146,863,921,379,90,2897,4949,186,232,1090,357,180
North Melbourne,5112,2319,3732,8844,292,223,931,1635,837,1285,879,1089,428,58,3315,5446,305,294,1223,195,192
Port Adelaide,4976,1998,3870,8846,280,209,998,1714,917,1137,972,1152,429,47,3446,5326,232,225,1224,188,181
Richmond,4559,1923,3452,8011,276,196,989,1613,770,1135,863,1067,430,63,3024,4889,183,256,1066,224,195
St Kilda,4739,2244,3672,8411,363,201,973,1297,693,1188,806,900,372,98,2899,5478,214,326,1059,268,252
Sydney,5161,2095,4079,9240,247,217,1169,1622,925,1184,985,1148,410,36,3620,5577,231,216,1224,188,164
West Coast,4520,1910,3716,8236,259,161,742,1566,743,1059,848,990,334,59,3099,5104,187,195,1116,226,178
Western Bulldogs,4404,1910,3343,7747,325,187,1004,1679,734,1121,862,924,377,82,3087,4601,281,272,1100,267,234
