Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4770,2580,3393,8163,259,201,686,1306,792,1119,695,1026,434,59,2584,5527,217,294,1177,347,181
Brisbane Lions,4513,2454,3276,7789,266,217,711,1152,792,1104,665,1028,385,62,2570,5202,217,299,959,275,192
Carlton,4661,2414,3235,7896,433,263,825,1060,754,1259,757,1028,396,93,2690,5178,290,428,1085,408,318
Collingwood,4969,2294,3557,8526,324,229,812,1326,849,1262,848,1180,471,77,3147,5303,253,315,1354,361,227
Essendon,4631,2482,3225,7856,351,233,645,965,731,1282,699,1035,408,79,2550,5311,223,378,1028,509,240
Fremantle,4389,2159,3075,7464,317,226,680,1155,745,1130,724,1005,429,67,2635,4794,201,287,978,508,213
Geelong,4889,2462,3462,8351,267,182,748,1411,914,1161,840,1291,490,26,2942,5385,267,224,1144,451,152
Hawthorn,4894,2690,3706,8600,295,201,687,1200,867,1118,737,1143,493,54,2657,5942,208,300,973,302,189
Kangaroos,5018,2633,3927,8945,336,240,879,1437,854,1319,798,1198,432,54,2919,5985,281,377,1245,472,223
Melbourne,4447,2192,3172,7619,349,255,691,1214,715,1230,737,1009,417,89,2681,4903,245,391,1124,582,250
Port Adelaide,4970,2581,3743,8713,333,243,698,1292,818,1229,767,1164,470,44,2827,5847,238,342,1120,439,209
Richmond,4453,2323,2969,7422,370,239,780,1144,702,1213,675,913,421,99,2461,4922,227,398,973,563,271
St Kilda,4515,2425,3010,7525,282,197,675,1166,755,1024,658,1021,415,64,2468,4995,201,284,1062,487,186
Sydney,4166,1873,2495,6661,264,180,716,1367,746,1046,715,1023,530,55,2699,3878,207,245,1018,370,156
West Coast,4905,2476,3191,8096,303,222,642,1318,847,1187,770,1214,412,50,2741,5258,207,300,1129,652,205
Western Bulldogs,4521,2264,3520,8041,358,254,698,1030,715,1255,738,950,425,84,2749,5279,258,365,997,387,243
