Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4875,1722,2769,7644,300,252,788,896,856,1253,934,454,455,45, , , , , , , 
Brisbane Lions,4361,1660,2536,6897,358,251,677,537,768,1222,777,458,429,94, , , , , , , 
Carlton,4143,1617,2259,6402,306,229,633,753,715,1107,733,421,406,69, , , , , , , 
Collingwood,4311,1654,2479,6790,312,215,703,620,738,1175,774,472,330,79, , , , , , , 
Essendon,4563,1830,2211,6774,304,251,693,713,674,1254,848,480,448,71, , , , , , , 
Fremantle,4221,1481,2461,6682,340,195,691,659,671,1099,737,350,425,94, , , , , , , 
Geelong,4125,1522,2359,6484,285,205,699,842,705,1099,749,496,379,70, , , , , , , 
Hawthorn,4250,1710,2314,6564,305,196,657,642,621,1191,734,412,373,71, , , , , , , 
Melbourne,4799,1826,2767,7566,316,250,798,942,867,1237,867,512,501,53, , , , , , , 
North Melbourne,4881,1930,2664,7545,343,251,907,717,819,1356,929,513,442,55, , , , , , , 
Port Adelaide,4357,1721,2513,6870,294,213,615,705,716,1133,683,464,468,75, , , , , , , 
Richmond,4245,1714,2408,6653,282,184,666,640,782,1076,806,512,399,63, , , , , , , 
St Kilda,4663,1661,2516,7179,327,279,826,832,715,1299,885,527,437,61, , , , , , , 
Sydney,4465,1706,2550,7015,339,218,763,464,760,1298,745,391,423,52, , , , , , , 
West Coast,4444,1533,2501,6945,272,208,840,627,642,1193,871,443,425,56, , , , , , , 
Western Bulldogs,4330,1657,2456,6786,329,195,757,807,772,1233,746,530,436,48, , , , , , , 
