Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4944,2153,3406,8350,252,209,823,1455,839,1175,822,1253,332,79,3210,5085,250,238,1213,128,180
Brisbane Lions,4991,1950,3528,8519,273,200,944,1508,1013,1244,960,1412,500,42,3410,4902,256,279,1298,137,191
Carlton,4891,2033,3453,8344,276,199,885,1499,804,1204,854,1200,443,72,3196,4988,242,270,1084,145,185
Collingwood,5155,2222,3678,8833,245,184,606,1495,930,1182,882,1331,386,51,3372,5380,258,247,1256,78,180
Essendon,5181,2218,3584,8765,270,228,886,1323,867,1259,832,1250,438,74,3387,5306,286,293,1184,139,191
Fremantle,4996,2133,3519,8515,245,204,798,1325,878,1147,785,1194,387,63,3229,5201,240,232,1195,144,172
Geelong,5165,2101,3579,8744,234,203,1027,1711,959,1230,970,1328,446,42,3461,5144,263,247,1206,144,160
Gold Coast,5080,2194,3493,8573,330,207,826,1589,783,1273,917,1204,382,110,3277,5214,262,316,1174,145,244
Greater Western Sydney,5474,2232,3562,9036,286,203,1103,1602,982,1355,990,1413,547,48,3522,5277,297,264,1216,206,192
Hawthorn,4929,2081,3387,8316,228,195,807,1381,885,1083,908,1180,425,65,3211,4989,233,224,1195,109,155
Melbourne,4834,2067,3376,8210,297,170,656,1515,937,1148,789,1171,435,85,3169,4892,254,268,1047,141,203
North Melbourne,4656,1908,3361,8017,265,193,831,1382,850,1121,861,1187,422,64,3156,4785,261,257,1130,117,182
Port Adelaide,4756,1763,3426,8182,249,184,714,1337,997,1069,800,1302,435,66,3333,4649,234,217,1130,117,171
Richmond,5711,2502,3913,9624,264,192,969,1404,1049,1237,966,1457,492,60,3628,5890,304,255,1233,100,187
St Kilda,4905,2174,3331,8236,294,164,939,1319,861,1133,827,1169,434,79,3161,4957,294,247,1117,84,194
Sydney,4834,1844,3106,7940,246,215,1050,1415,783,1239,898,1176,451,79,3280,4575,234,206,1061,137,155
West Coast,5320,2193,3631,8951,261,215,939,1303,874,1246,880,1260,450,58,3461,5387,260,250,1240,126,172
Western Bulldogs,4928,2040,3395,8323,280,198,1146,1336,962,1158,812,1251,387,51,3246,4959,290,297,1132,116,207
