Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4880,2638,3477,8357,255,206,695,1208,946,1029,739,1072,400,39,2658,5661,222,268,1094,413,137
Brisbane Lions,4678,2427,2896,7574,324,211,692,1081,822,1122,742,883,368,75,2567,4945,194,316,915,370,171
Carlton,4643,2449,3224,7867,354,240,644,1020,823,1231,705,976,311,86,2549,5275,212,387,1058,483,219
Collingwood,4876,2611,3175,8051,303,214,739,987,883,1211,714,1024,327,58,2565,5434,228,299,1039,461,161
Essendon,4828,2585,2843,7671,367,225,731,1078,851,1206,695,964,338,96,2591,5020,256,377,1042,489,193
Fremantle,5046,2567,3219,8265,307,260,740,1190,923,1207,792,1046,483,55,2856,5373,238,334,1024,516,172
Geelong,4551,2359,2892,7443,293,210,661,1134,861,1121,731,963,375,74,2576,4841,221,304,1087,613,166
Hawthorn,4775,2592,2815,7590,308,220,628,1118,799,1140,666,979,409,82,2493,5057,236,414,1037,471,172
Kangaroos,4497,2417,3021,7518,317,204,663,934,810,1104,605,936,296,89,2355,5162,195,353,1003,491,183
Melbourne,4798,2454,3126,7924,306,230,735,1172,829,1210,759,1104,396,61,2831,5049,229,309,1089,540,172
Port Adelaide,4673,2585,2933,7606,309,231,576,1035,799,1120,644,936,382,65,2392,5173,226,349,994,498,180
Richmond,4679,2553,2761,7440,323,243,574,1125,826,1176,640,938,339,69,2364,4996,187,366,952,613,202
St Kilda,4770,2545,3086,7856,263,203,753,1180,926,1079,725,1017,400,66,2647,5168,184,301,1056,419,147
Sydney,4638,2141,2660,7298,278,160,920,1413,945,1082,879,1015,517,52,2923,4267,211,248,1071,322,134
West Coast,5281,2847,3144,8425,314,228,689,1352,1031,1211,769,1160,409,36,2841,5544,245,305,1161,560,183
Western Bulldogs,4997,2535,3537,8534,338,250,714,1154,910,1283,841,1055,411,53,2931,5588,268,376,1062,414,176
