Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4417,2153,4024,8441,269,207,850,1576,779,983,786,942,404,79,2803,5548,198,260,1068,193,182
Brisbane Lions,4448,2045,3998,8446,311,244,720,1329,755,1197,772,924,446,83,3077,5287,274,275,1041,234,196
Carlton,4422,2035,3698,8120,299,229,875,1555,776,1128,797,999,446,61,3082,4944,276,279,1063,252,184
Collingwood,5090,2428,4646,9736,278,214,986,1621,962,1152,880,1247,450,43,3473,6147,294,263,1249,262,176
Essendon,4392,1996,3605,7997,358,210,871,1551,706,1215,808,992,415,89,3012,4898,264,322,1069,273,231
Fremantle,4900,2314,4395,9295,335,226,754,1606,755,1265,864,1070,445,57,3259,5942,253,310,1167,295,228
Geelong,4817,2206,3827,8644,281,224,798,1600,845,1208,854,1161,489,28,3252,5325,276,265,1151,346,177
Hawthorn,4508,2074,3648,8156,279,219,986,1703,778,1094,865,1036,518,62,3128,4895,321,257,1055,241,162
Melbourne,4495,2007,3649,8144,280,235,682,1537,717,1204,797,987,442,68,3025,5031,255,233,1068,286,165
North Melbourne,4771,2469,4050,8821,326,203,792,1395,701,1140,787,1018,421,76,2882,5850,250,318,999,210,222
Port Adelaide,4554,2079,3757,8311,306,222,859,1626,727,1100,771,1043,432,75,2988,5182,239,301,1127,223,218
Richmond,4582,2225,3739,8321,339,271,899,1537,699,1155,753,999,461,95,2974,5284,275,364,1037,193,237
St Kilda,5124,2469,4311,9435,275,194,1030,1686,838,1174,908,1132,510,49,3410,5921,273,283,1252,203,166
Sydney,4557,2053,3184,7741,296,209,911,1709,773,1161,821,1030,474,44,3082,4536,274,244,1071,336,171
West Coast,4607,2147,3901,8508,333,248,644,1561,740,1174,780,1050,412,101,3045,5362,276,270,1075,308,214
Western Bulldogs,5080,2420,4277,9357,291,212,760,1567,904,1271,807,1153,400,46,3279,5948,274,296,1206,322,203
