Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,5168,1985,4271,9439,292,216,995,1850,908,1258,950,1454,500,44,3765,5593,271,253,1275,169,194
Brisbane Lions,4805,2149,3580,8385,367,270,796,1324,664,1339,853,1210,399,85,3121,5247,250,380,999,222,269
Carlton,4546,1988,3830,8376,299,210,809,1506,739,1165,790,1179,411,79,3017,5348,223,272,986,167,200
Collingwood,4592,2113,3752,8344,287,194,736,1526,845,1107,769,1140,349,60,3002,5314,227,289,1051,146,197
Essendon,4956,2265,3643,8599,307,235,864,1379,783,1240,831,1184,427,61,3171,5392,295,309,1022,149,191
Fremantle,4902,2305,3928,8830,317,219,780,1469,749,1163,796,1147,414,75,3168,5698,269,285,1027,189,217
Geelong,5087,2154,3960,9047,299,236,1041,1919,907,1270,948,1373,526,52,3498,5486,226,266,1170,155,204
Gold Coast,4772,2124,3723,8495,337,241,784,1522,727,1233,770,1086,384,85,3112,5366,232,314,1003,175,237
Greater Western Sydney,5073,2194,4036,9109,298,225,963,1628,907,1295,878,1274,525,51,3462,5633,269,273,1207,161,194
Hawthorn,4662,2107,4044,8706,301,200,958,1536,724,1126,821,1093,391,71,3139,5589,232,262,1026,132,212
Melbourne,4557,1943,3728,8285,280,209,1043,1620,818,1125,830,1232,414,64,3278,5013,274,256,1026,145,201
North Melbourne,4640,2052,4059,8699,331,227,858,1459,784,1215,868,1163,396,92,3170,5531,245,304,934,199,244
Port Adelaide,4852,2116,4000,8852,251,196,840,1594,934,1125,885,1275,469,48,3345,5487,255,198,1077,163,147
Richmond,5153,2257,4208,9361,264,210,1142,1659,960,1263,922,1475,529,52,3617,5724,303,280,1186,160,182
St Kilda,4665,2232,4010,8675,291,204,780,1375,775,1146,734,1193,374,75,3101,5587,268,293,1027,144,209
Sydney,5160,2297,3933,9093,260,199,1004,1732,844,1197,851,1285,483,44,3460,5666,251,214,1144,142,167
West Coast,5126,2152,4363,9489,295,238,1117,1662,795,1292,953,1299,426,69,3488,5982,243,277,1199,188,217
Western Bulldogs,4659,2179,3783,8442,279,193,998,1604,861,1091,793,1163,371,81,3123,5334,290,272,1007,82,196
