Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4725,1847,3575,8300,268,211,926,1563,802,1152,876,1230,378,63,3362,4909,241,231,1224,124,181
Brisbane Lions,4596,1949,3718,8314,297,207,686,1260,781,1215,804,1203,457,87,3099,5235,191,265,1023,151,200
Carlton,4778,2125,3548,8326,335,225,945,1541,745,1218,824,1166,474,95,3089,5241,247,326,1006,149,237
Collingwood,5470,2472,4127,9597,291,187,707,1547,1001,1306,896,1540,466,36,3722,5920,304,267,1337,133,195
Essendon,4558,2037,3413,7971,264,225,839,1293,805,1138,759,1101,448,67,3103,4909,266,267,1148,139,166
Fremantle,4891,2133,3659,8550,294,230,782,1385,743,1206,774,1230,474,76,3192,5381,190,268,1089,148,209
Geelong,4777,1939,3526,8303,226,223,987,1654,850,1195,876,1301,489,44,3317,4985,232,201,1152,140,147
Gold Coast,5090,2138,3800,8890,311,272,809,1497,776,1336,865,1253,500,101,3429,5454,259,305,1168,201,213
Greater Western Sydney,5080,2111,3677,8757,252,204,1091,1612,904,1272,882,1281,507,56,3394,5313,240,232,1235,148,173
Hawthorn,4980,2054,3872,8852,265,194,931,1500,906,1137,886,1373,499,42,3517,5341,255,245,1215,102,176
Melbourne,5099,2080,4026,9125,290,207,804,1800,1006,1188,902,1369,522,39,3588,5529,254,239,1305,183,204
North Melbourne,4712,2055,3646,8358,259,195,727,1446,789,1159,791,1301,406,64,3128,5249,219,252,1098,147,197
Port Adelaide,4596,1751,3332,7928,241,168,994,1478,824,1158,884,1274,470,70,3359,4541,248,182,1038,120,156
Richmond,5084,2148,4103,9187,256,154,1079,1473,987,1171,939,1423,543,54,3681,5572,276,221,1262,122,163
St Kilda,4746,2198,3724,8470,310,223,826,1289,822,1185,732,1126,464,97,3057,5472,252,307,1045,149,225
Sydney,4887,1967,3359,8246,241,237,1109,1518,793,1280,848,1270,501,61,3425,4845,267,230,1216,105,151
West Coast,5148,2220,4031,9179,269,191,839,1546,917,1279,908,1436,477,51,3561,5658,286,260,1367,121,195
Western Bulldogs,4738,2064,3632,8370,300,189,1023,1450,848,1187,739,1233,425,85,3210,5164,291,314,1041,119,218
