Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4176,1757,2520,6696,281,205,688,1185,790,1055,826,905,356,56,2848,3784,301,257,1097,308,166
Brisbane Lions,4846,2224,2991,7837,312,254,796,972,897,1267,928,994,362,40,3094,4645,311,283,1093,311,175
Carlton,4543,2080,2453,6996,394,264,651,1012,714,1280,808,868,388,103,2878,4074,322,376,1131,345,221
Collingwood,4521,2035,2557,7078,303,232,905,1081,775,1209,841,963,379,46,2923,4091,291,272,1049,269,156
Essendon,4600,1987,2483,7083,306,223,880,1084,821,1224,863,930,410,65,3000,4022,281,272,1106,266,158
Fremantle,4375,1850,2658,7033,320,227,546,822,696,1199,871,877,346,66,2931,4056,270,276,954,388,179
Geelong,4107,1821,2439,6546,301,185,784,1125,700,1070,780,868,331,81,2697,3825,306,283,1074,319,165
Hawthorn,3941,1547,2288,6229,294,187,802,770,677,1057,797,879,337,70,2789,3369,264,255,965,259,143
Kangaroos,4141,1899,2537,6678,328,203,747,838,670,1151,765,810,313,66,2659,3989,254,312,883,261,196
Melbourne,4267,1990,2491,6758,349,210,666,938,751,1156,730,846,342,90,2701,4009,299,357,1055,356,194
Port Adelaide,4372,1947,2653,7025,291,206,641,987,762,1166,811,998,421,36,2900,4069,300,281,955,260,154
Richmond,4186,1959,2293,6479,302,230,718,1029,690,1123,771,832,325,77,2527,3916,258,349,921,297,194
St Kilda,4146,1809,2402,6548,321,213,832,1004,725,1115,756,889,349,63,2748,3789,273,271,979,328,180
Sydney,4039,1601,2275,6314,297,215,951,1090,698,1152,914,883,355,49,2885,3370,287,265,972,233,136
West Coast,4218,1779,2405,6623,305,227,743,1083,693,1146,842,912,328,52,2817,3694,279,269,835,291,184
Western Bulldogs,4442,2223,2555,6997,397,265,741,850,773,1296,719,853,278,96,2636,4345,313,395,915,444,216
