Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4914,2149,3668,8582,300,224,901,1621,784,1241,866,1103,457,44,3423,5136,308,253,1236,226,215
Brisbane Lions,4670,1890,3287,7957,304,209,1014,1364,681,1213,912,1007,448,77,3225,4656,233,224,1147,260,185
Carlton,4413,1888,3010,7423,278,208,870,1374,769,1043,837,935,421,56,3006,4384,235,208,1075,198,181
Collingwood,5165,2244,3951,9116,299,256,1034,1553,854,1257,913,1095,413,47,3520,5543,280,264,1315,214,197
Essendon,4682,2077,3292,7974,305,205,701,1391,813,1193,791,1041,405,69,3118,4835,247,282,1201,262,189
Fremantle,4809,2096,3605,8414,267,197,867,1625,759,1123,906,1145,445,57,3350,5049,254,203,1207,186,165
Geelong,4555,1727,3479,8034,288,201,979,1524,843,1084,900,1082,482,53,3379,4582,249,231,1182,206,192
Gold Coast,4973,2172,3659,8632,357,272,912,1379,632,1279,842,950,412,89,3240,5336,260,311,1037,246,229
Greater Western Sydney,4961,2290,3778,8739,400,290,800,1319,595,1372,823,1085,441,110,3240,5463,311,357,1083,300,269
Hawthorn,4815,1989,3576,8391,294,183,1022,1607,909,1138,892,1135,470,40,3434,4913,309,264,1144,215,207
Melbourne,4751,2053,3606,8357,339,250,870,1459,698,1236,879,997,457,105,3217,5097,256,279,1105,246,216
North Melbourne,4711,2003,3276,7987,329,242,999,1369,790,1204,884,1045,454,63,3254,4699,286,279,1097,256,221
Port Adelaide,4623,2000,3227,7850,314,220,964,1453,673,1170,815,1019,430,92,3063,4746,238,281,984,224,204
Richmond,4293,1810,3089,7382,284,184,801,1471,798,1032,785,1068,416,49,3027,4320,258,264,1085,158,174
St Kilda,4280,1846,3484,7764,276,182,1008,1361,721,1070,798,1031,398,59,3016,4712,248,240,1022,181,179
Sydney,5166,2113,3705,8871,260,218,1180,1634,888,1254,1027,1207,462,37,3761,5077,317,238,1337,220,171
West Coast,4777,1965,3367,8144,283,209,685,1455,838,1127,953,1150,432,49,3321,4768,260,213,1186,245,171
Western Bulldogs,4724,2156,3450,8174,341,205,832,1397,760,1146,795,963,395,92,3046,5081,261,286,1133,309,226
