Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4722,2125,3794,8516,301,207,964,1450,823,1193,865,1078,386,53,3074,5380,262,283,1025,179,201
Brisbane Lions,4445,1847,3485,7930,341,208,1037,1570,653,1187,914,992,443,97,3067,4861,247,318,957,141,245
Carlton,4572,2156,3500,8072,349,213,986,1386,675,1224,814,910,388,97,2867,5149,265,321,849,250,242
Collingwood,4553,2059,3882,8435,270,189,911,1425,780,1080,837,999,356,66,3081,5339,227,265,952,107,201
Essendon,4676,2019,3328,8004,312,203,986,1359,767,1213,869,1009,428,94,3149,4852,262,279,1043,264,209
Fremantle,4975,2329,3543,8518,247,173,719,1771,790,1038,819,1110,465,38,3137,5361,225,226,1099,148,159
Geelong,4286,1882,3453,7739,266,175,1017,1333,711,1057,838,973,411,62,2890,4819,217,255,865,183,182
Gold Coast,5031,2232,3861,8892,326,222,1064,1347,687,1269,899,1014,382,95,3240,5618,243,289,922,152,233
Greater Western Sydney,4510,2004,3532,8042,272,201,1047,1327,723,1135,905,1027,393,69,2943,5058,254,244,848,189,192
Hawthorn,5038,2225,4274,9312,261,195,1060,1558,913,1139,962,1244,439,44,3487,5819,277,273,1082,118,173
Melbourne,4500,1962,3255,7755,301,189,1001,1693,680,1174,900,979,410,90,2994,4770,237,261,970,251,199
North Melbourne,4878,2233,3765,8643,311,215,932,1611,832,1283,914,1159,452,64,3257,5411,271,289,1109,197,202
Port Adelaide,4416,1695,3395,7811,276,178,1017,1442,798,1134,967,1038,406,62,3097,4641,183,220,964,150,181
Richmond,4409,1925,3385,7794,235,193,955,1500,767,1083,857,1123,433,38,2997,4830,223,234,1017,147,157
St Kilda,4399,1975,3855,8254,319,203,922,1384,777,1157,843,1018,459,86,3094,5195,251,279,918,145,206
Sydney,4874,2077,3840,8714,244,209,1004,1431,898,1156,922,1133,460,38,3323,5307,217,229,988,179,155
West Coast,4979,2219,3938,8917,261,183,961,1874,852,1094,976,1219,376,35,3268,5631,253,251,1183,194,193
Western Bulldogs,4771,2220,3705,8476,284,180,1124,1578,843,1146,889,1073,387,54,3172,5245,297,304,985,178,204
