Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4611,2377,4493,9104,284,199,788,1554,811,1028,817,1089,451,49,2860,6169,224,279,1064,262,197
Brisbane Lions,4874,2462,4206,9080,304,236,952,1376,823,1219,905,1045,396,47,3006,6008,237,327,1119,355,222
Carlton,4386,2097,3917,8303,316,216,840,1283,769,1141,771,988,393,54,2858,5395,242,316,1041,425,206
Collingwood,5040,2564,4647,9687,295,245,1017,1296,865,1208,826,1057,416,57,3129,6455,290,270,1151,407,192
Essendon,4492,2289,3831,8323,336,246,927,1415,738,1172,806,929,393,74,2858,5421,279,365,984,373,245
Fremantle,4418,2126,4221,8639,333,223,607,1369,679,1150,792,899,396,90,2867,5716,201,293,995,343,224
Geelong,4654,2210,4136,8790,296,202,850,1639,875,1138,822,1138,472,34,3044,5680,236,313,1087,361,216
Hawthorn,4386,2121,3822,8208,306,234,916,1607,761,1045,794,996,511,82,2770,5360,220,290,909,224,188
Melbourne,4619,2284,4363,8982,332,247,712,1220,713,1209,739,889,366,101,2814,6144,202,338,929,424,244
North Melbourne,4387,2143,3824,8211,293,195,847,1399,696,1182,763,993,382,88,2703,5421,215,294,1005,359,207
Port Adelaide,4349,2127,4114,8463,332,211,673,1300,674,1129,706,965,384,72,2732,5645,222,320,941,321,231
Richmond,4354,2206,3726,8080,348,249,859,1450,659,1179,703,886,393,91,2644,5388,251,319,919,404,236
St Kilda,4556,2222,4422,8978,232,158,943,1578,880,1016,803,1176,424,22,3067,5835,242,228,1134,228,149
Sydney,4279,1998,2962,7241,294,231,836,1436,677,1091,822,871,429,62,2712,4422,239,301,982,339,181
West Coast,4532,2265,4143,8675,297,218,746,1499,723,1101,757,983,403,79,2748,5849,246,278,988,340,187
Western Bulldogs,4898,2548,4696,9594,315,205,738,1549,895,1210,790,1152,401,54,3088,6445,282,312,1219,428,232
