Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4477,1810,3366,7843,279,189,832,1392,776,1091,802,997,390,67,3110,4658,220,224,969,277,184
Brisbane Lions,4653,1937,3239,7892,309,244,917,1278,753,1193,863,968,463,68,3131,4681,235,256,994,258,205
Carlton,4900,2003,3458,8358,310,249,883,1544,822,1235,857,1035,398,61,3354,4964,245,277,1126,316,221
Collingwood,4655,1976,3501,8156,286,198,883,1313,851,1070,806,1054,366,50,3098,4981,219,242,1071,194,196
Essendon,4713,2039,3222,7935,289,221,818,1293,812,1105,829,960,365,60,3169,4682,270,266,1098,273,195
Fremantle,5070,2184,3880,8950,248,203,971,1862,769,1109,899,1190,489,42,3570,5346,287,236,1151,195,158
Geelong,5042,2053,3907,8949,300,202,1060,1613,953,1175,972,1219,410,43,3561,5306,256,255,1091,218,209
Gold Coast,4840,2113,3389,8229,301,216,960,1301,732,1198,801,958,382,70,3088,5085,226,272,993,255,211
Greater Western Sydney,4843,2217,3784,8627,444,262,867,1309,583,1316,851,959,429,115,3162,5457,261,392,884,315,318
Hawthorn,4862,1997,3801,8663,301,194,979,1582,862,1177,966,1111,456,49,3476,5150,230,271,1123,191,203
Melbourne,4946,2188,3800,8746,393,262,931,1407,600,1276,930,981,420,116,3238,5464,254,330,907,299,256
North Melbourne,4173,1756,3016,7189,279,208,790,1378,703,1088,740,960,390,55,2921,4245,239,232,934,253,187
Port Adelaide,4957,2101,3444,8401,317,211,956,1613,798,1171,899,1095,460,66,3343,5004,229,299,953,279,229
Richmond,4568,2014,3245,7813,270,198,949,1427,767,1111,826,1074,426,51,2966,4824,236,264,980,183,185
St Kilda,4655,2221,3287,7942,308,215,931,1143,692,1135,798,947,397,90,2898,5002,244,280,921,292,208
Sydney,5258,2085,3881,9139,279,221,1015,1746,885,1255,985,1150,437,37,3724,5297,254,255,1179,232,185
West Coast,4559,1855,3441,8000,317,194,762,1376,687,1145,852,999,363,79,3199,4737,247,208,985,248,210
Western Bulldogs,4527,2005,3111,7638,331,220,847,1493,760,1137,798,969,437,69,3006,4565,272,293,998,323,226
