Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,4407,1596,2454,6861,328,221,738,573,739,1164,957,610,400,79,2932,3851,311,277,538,287, 
Brisbane Lions,4718,1750,2537,7255,278,213,679,570,844,1190,985,684,514,36,3237,3961,324,266,508,166, 
Carlton,4974,1965,2723,7697,359,226,807,733,875,1356,943,783,515,54,3365,4377,403,318,639,272, 
Collingwood,4545,1848,2437,6982,334,253,805,526,720,1230,878,633,365,90,2816,4135,341,355,546,222, 
Essendon,4649,1875,2407,7056,297,224,758,554,796,1272,961,718,501,41,3169,3906,376,311,500,192, 
Fremantle,4211,1648,2488,6699,355,223,667,534,665,1168,873,583,413,92,2812,3923,310,350,495,197, 
Geelong,4405,1799,2373,6778,362,235,736,558,703,1224,802,580,382,81,2865,3891,374,322,465,256, 
Hawthorn,4391,1747,2327,6718,276,221,643,471,712,1197,819,632,392,71,2919,3800,351,269,464,233, 
Kangaroos,4974,1863,2872,7846,344,230,780,529,832,1444,1053,712,448,49,3346,4465,356,283,580,243, 
Melbourne,4418,1816,2266,6684,334,232,681,631,730,1167,834,536,467,91,2853,3881,314,312,488,234, 
Port Adelaide,4380,1736,2443,6823,316,187,610,579,728,1158,923,591,402,68,2872,3886,309,303,449,206, 
Richmond,4188,1559,2209,6397,314,225,692,566,746,1171,878,649,419,84,2886,3503,342,286,505,199, 
St Kilda,4246,1741,2183,6429,297,186,612,624,718,1089,796,627,451,60,2763,3714,311,292,473,231, 
Sydney,4384,1783,2497,6881,328,233,734,487,801,1235,899,663,398,60,2872,4061,324,341,475,205, 
West Coast,4652,1761,2785,7437,306,238,794,583,782,1291,1009,712,433,56,3156,4355,353,302,530,245, 
Western Bulldogs,4415,1780,2448,6863,315,222,649,683,801,1220,841,665,491,44,2906,3950,308,306,549,291, 
