Team,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
Adelaide,3949,1859,2279,6228,299,200,624,982,813,1029,719,822,302,80,2413,3747,254,264,1017,309,175
Brisbane Lions,4662,2197,2630,7292,296,211,810,1086,970,1172,828,907,379,30,2854,4302,273,294,1093,260,165
Carlton,4130,1786,2533,6663,328,236,798,1020,727,1195,782,921,358,72,2663,3951,261,324,1041,283,177
Collingwood,4065,1873,2381,6446,302,228,783,912,769,1100,753,812,344,81,2578,3803,267,285,1034,237,167
Essendon,4653,2121,2527,7180,353,225,821,1024,853,1298,850,964,412,72,2919,4170,281,354,1118,328,194
Fremantle,4127,1729,2509,6636,267,203,579,996,766,1115,737,859,325,71,2661,3837,231,228,957,324,146
Geelong,4485,1850,2580,7065,293,209,963,1261,954,1157,892,999,438,42,3050,3949,276,249,1131,313,147
Hawthorn,4264,1938,2416,6680,343,247,706,1018,742,1227,745,844,313,103,2717,3907,273,337,1054,285,193
Kangaroos,3930,1870,2693,6623,317,202,742,820,753,1125,741,805,325,71,2546,4068,264,306,907,261,178
Melbourne,4237,1902,2717,6954,292,202,822,1074,901,1131,780,901,310,56,2765,4138,267,297,1096,333,158
Port Adelaide,4431,2103,2747,7178,290,263,695,1060,821,1206,761,947,363,42,2699,4415,221,316,1056,309,160
Richmond,4198,1995,2456,6654,362,230,717,951,758,1192,751,828,289,96,2529,4075,237,344,994,317,210
St Kilda,4332,1924,2671,7003,328,194,943,1200,923,1138,803,927,359,42,2923,4041,287,294,1061,275,168
Sydney,4036,1648,2109,6145,282,214,991,1324,766,1083,862,907,367,57,2709,3315,234,237,996,268,130
West Coast,4178,1849,2436,6614,301,194,713,1045,811,1113,777,888,320,53,2697,3818,269,270,948,296,171
Western Bulldogs,4195,2017,2520,6715,359,246,707,907,834,1210,739,787,289,88,2476,4199,217,368,976,377,209
